ESPECIE,PARÁMETRO,FORMA DE CUBICACIÓN,Modelo,A,B,C,D,P,Q,R,DNM
Pyrus spp.,VCC,2,1,13.04,0.0002678,-,,-,-,-,-
Pyrus spp.,VCC,3,1,13.04,0.0002678,-,,-,-,-,-
Pyrus spp.,VCC,4,1,13.04,0.0002678,-,,-,-,-,-
Pyrus spp.,VCC,5,1,13.04,0.0002678,-,,-,-,-,-
Pyrus spp.,VSC,2,7,-6.47,0.7939548,3.43e-05,,-,-,-,-
Pyrus spp.,VSC,3,7,-6.47,0.7939548,3.43e-05,,-,-,-,-
Pyrus spp.,VSC,4,7,-6.47,0.7939548,3.43e-05,,-,-,-,-
Pyrus spp.,VSC,5,7,-6.47,0.7939548,3.43e-05,,-,-,-,-
Pyrus spp.,IAVC,2,21,-,-,0.0003255,-7.555e-08,-,-,-,-
Pyrus spp.,IAVC,3,21,-,-,0.0003255,-7.555e-08,-,-,-,-
Pyrus spp.,IAVC,4,21,-,-,0.0003255,-7.555e-08,-,-,-,-
Pyrus spp.,IAVC,5,21,-,-,0.0003255,-7.555e-08,-,-,-,-
Pyrus spp.,VLE,2,12,-,-,-,,0.0016601,1.7736,-,-
Pyrus spp.,VLE,3,12,-,-,-,,0.0016601,1.7736,-,-
Pyrus spp.,VLE,4,12,-,-,-,,0.0016601,1.7736,-,-
Pyrus spp.,VLE,5,12,-,-,-,,0.0016601,1.7736,-,-
Acacia spp.,VCC,1,1,-3.74,0.0002944,-,,-,-,-,-
Acacia spp.,VCC,2,1,-3.74,0.0002944,-,,-,-,-,-
Acacia spp.,VCC,3,1,-3.74,0.0002944,-,,-,-,-,-
Acacia spp.,VCC,5,1,-3.74,0.0002944,-,,-,-,-,-
Acacia spp.,VSC,1,7,-1.72,0.811565,6.5e-06,,-,-,-,-
Acacia spp.,VSC,2,7,-1.72,0.811565,6.5e-06,,-,-,-,-
Acacia spp.,VSC,3,7,-1.72,0.811565,6.5e-06,,-,-,-,-
Acacia spp.,VSC,5,7,-1.72,0.811565,6.5e-06,,-,-,-,-
Acacia spp.,IAVC,1,17,-10.96925,0.2021321,-0.0002073,-,-,-,-,-
Acacia spp.,IAVC,2,17,-10.96925,0.2021321,-0.0002073,-,-,-,-,-
Acacia spp.,IAVC,3,17,-10.96925,0.2021321,-0.0002073,-,-,-,-,-
Acacia spp.,IAVC,5,17,-10.96925,0.2021321,-0.0002073,-,-,-,-,-
Acacia spp.,VLE,1,12,-,-,-,,2.12e-05,2.52613,-,-
Acacia spp.,VLE,2,12,-,-,-,,2.12e-05,2.52613,-,-
Acacia spp.,VLE,3,12,-,-,-,,2.12e-05,2.52613,-,-
Acacia spp.,VLE,5,12,-,-,-,,2.12e-05,2.52613,-,-
Pinus sylvestris,VCC,2,1,9.92,0.0003379,-,,-,-,-,-
Pinus sylvestris,VCC,3,1,3.57,0.000312,-,,-,-,-,-
Pinus sylvestris,VCC,5,1,36.68,0.000206,-,,-,-,-,-
Pinus sylvestris,VSC,2,7,-3.67,0.7984439,0.00011,,-,-,-,-
Pinus sylvestris,VSC,3,7,-0.41,0.7210423,0.0005083,,-,-,-,-
Pinus sylvestris,VSC,5,7,-3.43,0.8209285,0.000186,,-,-,-,-
Pinus sylvestris,IAVC,2,21,-,-,0.000709,-7.6391e-07,-,-,-,-
Pinus sylvestris,IAVC,3,21,-,-,0.000709,-7.6391e-07,-,-,-,-
Pinus sylvestris,IAVC,5,21,-,-,0.000709,-7.6391e-07,-,-,-,-
Pinus sylvestris,VLE,2,12,-,-,-,,0.0001194,2.14645,-,-
Pinus sylvestris,VLE,3,12,-,-,-,,0.0001194,2.14645,-,-
Pinus sylvestris,VLE,5,12,-,-,-,,0.0001194,2.14645,-,-
Pinus pinaster,VCC,1,1,34.2,0.0002936,-,,-,-,-,-
Pinus pinaster,VCC,2,1,34.2,0.0002936,-,,-,-,-,-
Pinus pinaster,VCC,3,1,10.07,0.0001908,-,,-,-,-,-
Pinus pinaster,VCC,5,1,38.41,0.000208,-,,-,-,-,-
Pinus pinaster,VSC,1,7,-15.69,0.7459322,1.67e-05,,-,-,-,-
Pinus pinaster,VSC,2,7,-15.69,0.7459322,1.67e-05,,-,-,-,-
Pinus pinaster,VSC,3,7,1.49,0.5277825,0.0021963,,-,-,-,-
Pinus pinaster,VSC,5,7,-7.3,0.7068691,4.3e-05,,-,-,-,-
Pinus pinaster,IAVC,1,21,-,-,0.0004687,-3.4931e-07,-,-,-,-
Pinus pinaster,IAVC,2,21,-,-,0.0004687,-3.4931e-07,-,-,-,-
Pinus pinaster,IAVC,3,21,-,-,0.0004687,-3.4931e-07,-,-,-,-
Pinus pinaster,IAVC,5,21,-,-,0.0004687,-3.4931e-07,-,-,-,-
Pinus pinaster,VLE,1,12,-,-,-,,5.64e-05,2.24028,-,-
Pinus pinaster,VLE,2,12,-,-,-,,5.64e-05,2.24028,-,-
Pinus pinaster,VLE,3,12,-,-,-,,5.64e-05,2.24028,-,-
Pinus pinaster,VLE,5,12,-,-,-,,5.64e-05,2.24028,-,-
