PROVINCIA,CÓD ESPECIE,ESPECIE,PARÁMETRO,FORMA DE CUBICACIÓN,MODELO,A,B,C,D,P,Q,R
2,215,Crataegus monogyna,VCC,2,11,0.0,0.0,0.0,0.0,0.0017568,1.68729,0.93055
2,215,Crataegus monogyna,VSC,2,7,-4.44,0.8334608,8.16e-05,0.0,0.0,0.0,0.0
2,215,Crataegus monogyna,IAVC,2,21,0.0,0.0,0.000327849326547494,-5.33632219201745e-07,0.0,0.0,0.0
2,215,Crataegus monogyna,VLE,2,12,0.0,0.0,0.0,0.0,0.0090069,1.42613,0.0
2,215,Crataegus monogyna,VCC,3,11,0.0,0.0,0.0,0.0,0.0017568,1.68729,0.93055
2,215,Crataegus monogyna,VSC,3,7,-4.44,0.8334608,8.16e-05,0.0,0.0,0.0,0.0
2,215,Crataegus monogyna,IAVC,3,21,0.0,0.0,0.000327849326547494,-5.33632219201745e-07,0.0,0.0,0.0
2,215,Crataegus monogyna,VLE,3,12,0.0,0.0,0.0,0.0,0.0090069,1.42613,0.0
2,215,Crataegus monogyna,VCC,5,11,0.0,0.0,0.0,0.0,0.0017568,1.68729,0.93055
2,215,Crataegus monogyna,VSC,5,7,-4.44,0.8334608,8.16e-05,0.0,0.0,0.0,0.0
2,215,Crataegus monogyna,IAVC,5,21,0.0,0.0,0.000327849326547494,-5.33632219201745e-07,0.0,0.0,0.0
2,215,Crataegus monogyna,VLE,5,12,0.0,0.0,0.0,0.0,0.0090069,1.42613,0.0
2,415,Crataegus laciniata,VCC,3,11,0.0,0.0,0.0,0.0,0.0017568,1.68729,0.93055
2,415,Crataegus laciniata,VSC,3,7,-4.44,0.8334608,8.16e-05,0.0,0.0,0.0,0.0
2,415,Crataegus laciniata,IAVC,3,21,0.0,0.0,0.000327849326547494,-5.33632219201745e-07,0.0,0.0,0.0
2,415,Crataegus laciniata,VLE,3,12,0.0,0.0,0.0,0.0,0.0090069,1.42613,0.0
2,319,Thuja spp.,VCC,3,11,0.0,0.0,0.0,0.0,0.0028903,1.71624,0.70819
2,319,Thuja spp.,VSC,3,7,-7.28,0.8910046,1.53e-05,0.0,0.0,0.0,0.0
2,319,Thuja spp.,IAVC,3,20,1.05046124097233,-4.68391278845413e-05,0.0,2.92638674223027e-08,0.0,0.0,0.0
2,319,Thuja spp.,VLE,3,12,0.0,0.0,0.0,0.0,2.49e-05,2.44751,0.0
2,319,Thuja spp.,VCC,5,11,0.0,0.0,0.0,0.0,0.0028903,1.71624,0.70819
2,319,Thuja spp.,VSC,5,7,-7.28,0.8910046,1.53e-05,0.0,0.0,0.0,0.0
2,319,Thuja spp.,IAVC,5,20,1.05046124097233,-4.68391278845413e-05,0.0,2.92638674223027e-08,0.0,0.0,0.0
2,319,Thuja spp.,VLE,5,12,0.0,0.0,0.0,0.0,2.49e-05,2.44751,0.0
2,23,Pinus pinea,VCC,1,11,0.0,0.0,0.0,0.0,0.0009731,1.8676,0.90103
2,23,Pinus pinea,VSC,1,7,6.92,0.6517906,0.0001186,0.0,0.0,0.0,0.0
2,23,Pinus pinea,IAVC,1,14,0.0,0.0,0.0,0.0,3.86144102058615e-06,2.53840044471887,0.0
2,23,Pinus pinea,VLE,1,12,0.0,0.0,0.0,0.0,8e-07,3.04558,0.0
2,23,Pinus pinea,VCC,2,11,0.0,0.0,0.0,0.0,0.0009731,1.8676,0.90103
2,23,Pinus pinea,VSC,2,7,6.92,0.6517906,0.0001186,0.0,0.0,0.0,0.0
2,23,Pinus pinea,IAVC,2,14,0.0,0.0,0.0,0.0,3.86144102058615e-06,2.53840044471887,0.0
2,23,Pinus pinea,VLE,2,12,0.0,0.0,0.0,0.0,8e-07,3.04558,0.0
2,23,Pinus pinea,VCC,3,11,0.0,0.0,0.0,0.0,0.0006501,2.08745,0.40231
2,23,Pinus pinea,VSC,3,7,0.54,0.6208698,0.0005999,0.0,0.0,0.0,0.0
2,23,Pinus pinea,IAVC,3,14,0.0,0.0,0.0,0.0,3.86144102058615e-06,2.53840044471887,0.0
2,23,Pinus pinea,VLE,3,12,0.0,0.0,0.0,0.0,8e-07,3.04558,0.0
2,23,Pinus pinea,VCC,4,11,0.0,0.0,0.0,0.0,0.0023526,1.69596,0.74706
2,23,Pinus pinea,VSC,4,7,-2.47,0.697939,0.0001326,0.0,0.0,0.0,0.0
2,23,Pinus pinea,IAVC,4,14,0.0,0.0,0.0,0.0,3.86144102058615e-06,2.53840044471887,0.0
2,23,Pinus pinea,VLE,4,12,0.0,0.0,0.0,0.0,8e-07,3.04558,0.0
2,23,Pinus pinea,VCC,5,11,0.0,0.0,0.0,0.0,0.0023526,1.69596,0.74706
2,23,Pinus pinea,VSC,5,7,-2.47,0.697939,0.0001326,0.0,0.0,0.0,0.0
2,23,Pinus pinea,IAVC,5,14,0.0,0.0,0.0,0.0,3.86144102058615e-06,2.53840044471887,0.0
2,23,Pinus pinea,VLE,5,12,0.0,0.0,0.0,0.0,8e-07,3.04558,0.0
2,24,Pinus halepensis,VCC,2,11,0.0,0.0,0.0,0.0,0.0010037,1.878,0.80534
2,24,Pinus halepensis,VSC,2,7,-7.28,0.7459133,3.52e-05,0.0,0.0,0.0,0.0
2,24,Pinus halepensis,IAVC,2,21,0.0,0.0,0.000141475259126486,-1.49978536781547e-07,0.0,0.0,0.0
2,24,Pinus halepensis,VLE,2,12,0.0,0.0,0.0,0.0,4.53e-05,2.33124,0.0
2,24,Pinus halepensis,VCC,3,11,0.0,0.0,0.0,0.0,0.0007835,2.07235,0.33428
2,24,Pinus halepensis,VSC,3,7,2.53,0.5774625,0.0008609,0.0,0.0,0.0,0.0
2,24,Pinus halepensis,IAVC,3,21,0.0,0.0,0.000141475259126486,-1.49978536781547e-07,0.0,0.0,0.0
2,24,Pinus halepensis,VLE,3,12,0.0,0.0,0.0,0.0,4.53e-05,2.33124,0.0
2,24,Pinus halepensis,VCC,5,11,0.0,0.0,0.0,0.0,0.002453,1.8128,0.43771
2,24,Pinus halepensis,VSC,5,7,-0.24,0.6913348,0.0002129,0.0,0.0,0.0,0.0
2,24,Pinus halepensis,IAVC,5,21,0.0,0.0,0.000141475259126486,-1.49978536781547e-07,0.0,0.0,0.0
2,24,Pinus halepensis,VLE,5,12,0.0,0.0,0.0,0.0,4.53e-05,2.33124,0.0
2,25,Pinus nigra,VCC,1,11,0.0,0.0,0.0,0.0,0.0004906,1.97234,0.94906
2,25,Pinus nigra,VSC,1,7,-6.17,0.738892,1.34e-05,0.0,0.0,0.0,0.0
2,25,Pinus nigra,IAVC,1,21,0.0,0.0,9.69765466507076e-05,-4.45319289641346e-08,0.0,0.0,0.0
2,25,Pinus nigra,VLE,1,12,0.0,0.0,0.0,0.0,2.5e-05,2.41169,0.0
2,25,Pinus nigra,VCC,2,11,0.0,0.0,0.0,0.0,0.0004906,1.97234,0.94906
2,25,Pinus nigra,VSC,2,7,-6.17,0.738892,1.34e-05,0.0,0.0,0.0,0.0
2,25,Pinus nigra,IAVC,2,21,0.0,0.0,9.69765466507076e-05,-4.45319289641346e-08,0.0,0.0,0.0
2,25,Pinus nigra,VLE,2,12,0.0,0.0,0.0,0.0,2.5e-05,2.41169,0.0
2,25,Pinus nigra,VCC,3,11,0.0,0.0,0.0,0.0,0.0002708,2.26363,0.396
2,25,Pinus nigra,VSC,3,7,-0.22,0.6710521,0.000223,0.0,0.0,0.0,0.0
2,25,Pinus nigra,IAVC,3,21,0.0,0.0,9.69765466507076e-05,-4.45319289641346e-08,0.0,0.0,0.0
2,25,Pinus nigra,VLE,3,12,0.0,0.0,0.0,0.0,2.5e-05,2.41169,0.0
2,25,Pinus nigra,VCC,5,11,0.0,0.0,0.0,0.0,0.001566,1.9112,0.41883
2,25,Pinus nigra,VSC,5,7,-0.96,0.6819004,0.0001415,0.0,0.0,0.0,0.0
2,25,Pinus nigra,IAVC,5,21,0.0,0.0,9.69765466507076e-05,-4.45319289641346e-08,0.0,0.0,0.0
2,25,Pinus nigra,VLE,5,12,0.0,0.0,0.0,0.0,2.5e-05,2.41169,0.0
2,626,Pinus pinaster sin resinar,VCC,1,11,0.0,0.0,0.0,0.0,0.0003764,2.06759,0.82494
2,626,Pinus pinaster sin resinar,VSC,1,7,-8.06,0.6587354,4.78e-05,0.0,0.0,0.0,0.0
2,626,Pinus pinaster sin resinar,IAVC,1,19,-5.14705140162768,0.0845764794553786,-0.000134952134132279,1.25287639507132e-07,0.0,0.0,0.0
2,626,Pinus pinaster sin resinar,VLE,1,12,0.0,0.0,0.0,0.0,5.64e-05,2.24028,0.0
2,626,Pinus pinaster sin resinar,VCC,2,11,0.0,0.0,0.0,0.0,0.0003764,2.06759,0.82494
