PROVINCIA,CÓD ESPECIE,ESPECIE,PARÁMETRO,FORMA DE CUBICACIÓN,MODELO,A,B,C,D,P,Q,R
3,13,Celtis australis,VCC,3,11,0.0,0.0,0.0,0.0,0.0017568,1.68729,0.93055
3,13,Celtis australis,VSC,3,7,-4.44,0.8334608,8.16e-05,0.0,0.0,0.0,0.0
3,13,Celtis australis,IAVC,3,21,0.0,0.0,0.000136731290451157,-4.35951137040058e-07,0.0,0.0,0.0
3,13,Celtis australis,VLE,3,12,0.0,0.0,0.0,0.0,0.0010626,1.85153,0.0
3,13,Celtis australis,VCC,5,11,0.0,0.0,0.0,0.0,0.0017568,1.68729,0.93055
3,13,Celtis australis,VSC,5,7,-4.44,0.8334608,8.16e-05,0.0,0.0,0.0,0.0
3,13,Celtis australis,IAVC,5,21,0.0,0.0,0.000136731290451157,-4.35951137040058e-07,0.0,0.0,0.0
3,13,Celtis australis,VLE,5,12,0.0,0.0,0.0,0.0,0.0010626,1.85153,0.0
3,215,Crataegus monogyna,VCC,3,11,0.0,0.0,0.0,0.0,0.0013079,1.89867,0.41737
3,215,Crataegus monogyna,VSC,3,7,-3.0,0.8497195,0.000114,0.0,0.0,0.0,0.0
3,215,Crataegus monogyna,IAVC,3,21,0.0,0.0,0.000136731290451157,-4.35951137040058e-07,0.0,0.0,0.0
3,215,Crataegus monogyna,VLE,3,12,0.0,0.0,0.0,0.0,0.0090069,1.42613,0.0
3,215,Crataegus monogyna,VCC,5,11,0.0,0.0,0.0,0.0,0.0013079,1.89867,0.41737
3,215,Crataegus monogyna,VSC,5,7,-3.0,0.8497195,0.000114,0.0,0.0,0.0,0.0
3,215,Crataegus monogyna,IAVC,5,21,0.0,0.0,0.000136731290451157,-4.35951137040058e-07,0.0,0.0,0.0
3,215,Crataegus monogyna,VLE,5,12,0.0,0.0,0.0,0.0,0.0090069,1.42613,0.0
3,23,Pinus pinea,VCC,2,11,0.0,0.0,0.0,0.0,0.0014257,1.76673,0.98882
3,23,Pinus pinea,VSC,2,7,-16.05,0.7834317,2.05e-05,0.0,0.0,0.0,0.0
3,23,Pinus pinea,IAVC,2,21,0.0,0.0,4.44546250341492e-05,3.93077700150414e-08,0.0,0.0,0.0
3,23,Pinus pinea,VLE,2,12,0.0,0.0,0.0,0.0,8e-07,3.04558,0.0
3,23,Pinus pinea,VCC,3,11,0.0,0.0,0.0,0.0,0.0019412,1.90296,0.31746
3,23,Pinus pinea,VSC,3,7,2.49,0.5722811,0.0009123,0.0,0.0,0.0,0.0
3,23,Pinus pinea,IAVC,3,21,0.0,0.0,4.44546250341492e-05,3.93077700150414e-08,0.0,0.0,0.0
3,23,Pinus pinea,VLE,3,12,0.0,0.0,0.0,0.0,8e-07,3.04558,0.0
3,23,Pinus pinea,VCC,4,11,0.0,0.0,0.0,0.0,0.0032649,1.76304,0.4421
3,23,Pinus pinea,VSC,4,7,-7.53,0.7576767,6e-05,0.0,0.0,0.0,0.0
3,23,Pinus pinea,IAVC,4,21,0.0,0.0,4.44546250341492e-05,3.93077700150414e-08,0.0,0.0,0.0
3,23,Pinus pinea,VLE,4,12,0.0,0.0,0.0,0.0,8e-07,3.04558,0.0
3,23,Pinus pinea,VCC,5,11,0.0,0.0,0.0,0.0,0.0005672,1.92039,0.8827
3,23,Pinus pinea,VSC,5,7,-32.6,0.8217497,9.9e-06,0.0,0.0,0.0,0.0
3,23,Pinus pinea,IAVC,5,21,0.0,0.0,4.44546250341492e-05,3.93077700150414e-08,0.0,0.0,0.0
3,23,Pinus pinea,VLE,5,12,0.0,0.0,0.0,0.0,8e-07,3.04558,0.0
3,24,Pinus halepensis,VCC,2,11,0.0,0.0,0.0,0.0,0.0011215,1.88812,0.73858
3,24,Pinus halepensis,VSC,2,7,-5.52,0.7692741,3.86e-05,0.0,0.0,0.0,0.0
3,24,Pinus halepensis,IAVC,2,21,0.0,0.0,0.000144841050346376,-1.31143280048724e-07,0.0,0.0,0.0
3,24,Pinus halepensis,VLE,2,12,0.0,0.0,0.0,0.0,4.53e-05,2.33124,0.0
3,24,Pinus halepensis,VCC,3,11,0.0,0.0,0.0,0.0,0.0007799,2.07762,0.3128
3,24,Pinus halepensis,VSC,3,7,2.62,0.6017432,0.0009997,0.0,0.0,0.0,0.0
3,24,Pinus halepensis,IAVC,3,21,0.0,0.0,0.000144841050346376,-1.31143280048724e-07,0.0,0.0,0.0
3,24,Pinus halepensis,VLE,3,12,0.0,0.0,0.0,0.0,4.53e-05,2.33124,0.0
3,24,Pinus halepensis,VCC,5,11,0.0,0.0,0.0,0.0,0.002453,1.8128,0.43771
3,24,Pinus halepensis,VSC,5,7,-2.18,0.7725478,5.98e-05,0.0,0.0,0.0,0.0
3,24,Pinus halepensis,IAVC,5,21,0.0,0.0,0.000144841050346376,-1.31143280048724e-07,0.0,0.0,0.0
3,24,Pinus halepensis,VLE,5,12,0.0,0.0,0.0,0.0,4.53e-05,2.33124,0.0
3,26,Pinus pinaster,VCC,2,11,0.0,0.0,0.0,0.0,0.0004175,2.02915,0.87339
3,26,Pinus pinaster,VSC,2,7,-26.61,0.7310678,1.15e-05,0.0,0.0,0.0,0.0
3,26,Pinus pinaster,IAVC,2,21,0.0,0.0,0.000347034189806595,-5.69582734893373e-07,0.0,0.0,0.0
3,26,Pinus pinaster,VLE,2,12,0.0,0.0,0.0,0.0,5.64e-05,2.24028,0.0
3,26,Pinus pinaster,VCC,3,11,0.0,0.0,0.0,0.0,0.0023845,1.91801,0.15119
3,26,Pinus pinaster,VSC,3,7,6.73,0.4001167,0.0012998,0.0,0.0,0.0,0.0
3,26,Pinus pinaster,IAVC,3,21,0.0,0.0,0.000347034189806595,-5.69582734893373e-07,0.0,0.0,0.0
3,26,Pinus pinaster,VLE,3,12,0.0,0.0,0.0,0.0,5.64e-05,2.24028,0.0
3,236,Cupressus arizonica,VCC,2,11,0.0,0.0,0.0,0.0,0.0004175,2.02915,0.87339
3,236,Cupressus arizonica,VSC,2,7,-26.61,0.7310678,1.15e-05,0.0,0.0,0.0,0.0
3,236,Cupressus arizonica,IAVC,2,21,0.0,0.0,0.000347034189806595,-5.69582734893373e-07,0.0,0.0,0.0
3,236,Cupressus arizonica,VLE,2,12,0.0,0.0,0.0,0.0,5.64e-05,2.24028,0.0
3,237,Juniperus oxycedrus,VCC,5,11,0.0,0.0,0.0,0.0,0.0017596,1.83627,0.56894
3,237,Juniperus oxycedrus,VSC,5,7,-1.52,0.8627692,5.69e-05,0.0,0.0,0.0,0.0
3,237,Juniperus oxycedrus,IAVC,5,21,0.0,0.0,0.000347034189806595,-5.69582734893373e-07,0.0,0.0,0.0
3,237,Juniperus oxycedrus,VLE,5,12,0.0,0.0,0.0,0.0,7.3e-05,2.28991,0.0
3,39,Juniperus phoenicea,VCC,3,11,0.0,0.0,0.0,0.0,0.0017596,1.83627,0.56894
3,39,Juniperus phoenicea,VSC,3,7,-1.52,0.8627692,5.69e-05,0.0,0.0,0.0,0.0
3,39,Juniperus phoenicea,IAVC,3,21,0.0,0.0,0.000347034189806595,-5.69582734893373e-07,0.0,0.0,0.0
3,39,Juniperus phoenicea,VLE,3,12,0.0,0.0,0.0,0.0,7.3e-05,2.28991,0.0
3,39,Juniperus phoenicea,VCC,5,11,0.0,0.0,0.0,0.0,0.0017596,1.83627,0.56894
