PROVINCIA,CÓD ESPECIE,ESPECIE,PARÁMETRO,FORMA DE CUBICACIÓN,MODELO,A,B,C,D,P,Q,R,DNM
7,8,Phillyrea latifolia,VCC,2,1,20.57,0.000269,-,-,-,-,-,-
7,8,Phillyrea latifolia,VSC,2,7,-1.55,0.8632,5.6e-05,-,-,-,-,-
7,8,Phillyrea latifolia,IAVC,2,21,-,-,3.48e-05,8.912e-08,-,-,-,-
7,8,Phillyrea latifolia,VLE,2,12,-,-,-,0,0.0090069,1.42613,-,-
7,8,Phillyrea latifolia,VCC,3,1,20.57,0.000269,-,-,-,-,-,-
7,8,Phillyrea latifolia,VSC,3,7,-1.55,0.8632,5.6e-05,-,-,-,-,-
7,8,Phillyrea latifolia,IAVC,3,21,-,-,3.48e-05,8.912e-08,-,-,-,-
7,8,Phillyrea latifolia,VLE,3,12,-,-,-,0,0.0090069,1.42613,-,-
7,8,Phillyrea latifolia,VCC,5,1,20.57,0.000269,-,-,-,-,-,-
7,8,Phillyrea latifolia,VSC,5,7,-1.55,0.8632,5.6e-05,-,-,-,-,-
7,8,Phillyrea latifolia,IAVC,5,21,-,-,3.48e-05,8.912e-08,-,-,-,-
7,8,Phillyrea latifolia,VLE,5,12,-,-,-,0,0.0090069,1.42613,-,-
7,13,Celtis australis,VCC,5,1,26.44,0.00023,-,-,-,-,-,-
7,13,Celtis australis,VSC,5,7,-17.2,0.8972,-8e-06,-,-,-,-,-
7,13,Celtis australis,IAVC,5,21,-,-,3.48e-05,8.912e-08,-,-,-,-
7,13,Celtis australis,VLE,5,12,-,-,-,0,1.27e-05,2.57913,-,-
7,215,Crataegus monogyna,VCC,5,1,20.57,0.000269,-,-,-,-,-,-
7,215,Crataegus monogyna,VSC,5,7,-1.55,0.8632,5.6e-05,-,-,-,-,-
7,215,Crataegus monogyna,IAVC,5,21,-,-,3.48e-05,8.912e-08,-,-,-,-
7,215,Crataegus monogyna,VLE,5,12,-,-,-,0,0.0090069,1.42613,-,-
7,23,Pinus pinea,VCC,2,1,47.45,0.000257,-,-,-,-,-,-
7,23,Pinus pinea,VSC,2,7,10.47,0.7996,1.4e-05,-,-,-,-,-
7,23,Pinus pinea,IAVC,2,21,-,-,0.0001015,-3.5e-10,-,-,-,-
7,23,Pinus pinea,VLE,2,12,-,-,-,0,8e-07,3.04558,-,-
7,23,Pinus pinea,VCC,3,1,12.41,0.000211,-,-,-,-,-,-
7,23,Pinus pinea,VSC,3,7,1.72,0.6699,-0.000648,-,-,-,-,-
7,23,Pinus pinea,IAVC,3,21,-,-,0.0001015,-3.5e-10,-,-,-,-
7,23,Pinus pinea,VLE,3,12,-,-,-,0,8e-07,3.04558,-,-
7,23,Pinus pinea,VCC,5,1,40.84,0.000189,-,-,-,-,-,-
7,23,Pinus pinea,VSC,5,7,-7.74,0.8162,2.5e-05,-,-,-,-,-
7,23,Pinus pinea,IAVC,5,21,-,-,0.0001015,-3.5e-10,-,-,-,-
7,23,Pinus pinea,VLE,5,12,-,-,-,0,8e-07,3.04558,-,-
7,24,Pinus halepensis,VCC,1,1,47.45,0.000257,-,-,-,-,-,-
7,24,Pinus halepensis,VSC,1,7,10.47,0.7996,1.4e-05,-,-,-,-,-
7,24,Pinus halepensis,IAVC,1,21,-,-,0.0001015,-3.5e-10,-,-,-,-
7,24,Pinus halepensis,VLE,1,12,-,-,-,0,4.53e-05,2.33124,-,-
7,24,Pinus halepensis,VCC,2,1,47.45,0.000257,-,-,-,-,-,-
7,24,Pinus halepensis,VSC,2,7,10.47,0.7996,1.4e-05,-,-,-,-,-
7,24,Pinus halepensis,IAVC,2,21,-,-,0.0001015,-3.5e-10,-,-,-,-
7,24,Pinus halepensis,VLE,2,12,-,-,-,0,4.53e-05,2.33124,-,-
7,24,Pinus halepensis,VCC,3,1,12.41,0.000211,-,-,-,-,-,-
7,24,Pinus halepensis,VSC,3,7,1.72,0.6699,-0.000648,-,-,-,-,-
7,24,Pinus halepensis,IAVC,3,21,-,-,0.0001015,-3.5e-10,-,-,-,-
7,24,Pinus halepensis,VLE,3,12,-,-,-,0,4.53e-05,2.33124,-,-
7,24,Pinus halepensis,VCC,5,1,40.84,0.000189,-,-,-,-,-,-
7,24,Pinus halepensis,VSC,5,7,-7.74,0.8162,2.5e-05,-,-,-,-,-
7,24,Pinus halepensis,IAVC,5,21,-,-,0.0001015,-3.5e-10,-,-,-,-
7,24,Pinus halepensis,VLE,5,12,-,-,-,0,4.53e-05,2.33124,-,-
7,237,Juniperus oxycedrus,VCC,5,1,20.57,0.000269,-,-,-,-,-,-
7,237,Juniperus oxycedrus,VSC,5,7,-1.55,0.8632,5.6e-05,-,-,-,-,-
7,237,Juniperus oxycedrus,IAVC,5,21,-,-,2.33e-05,2.138e-08,-,-,-,-
7,237,Juniperus oxycedrus,VLE,5,12,-,-,-,0,7.3e-05,2.28991,-,-
7,39,Juniperus phoenicea,VCC,2,1,20.57,0.000269,-,-,-,-,-,-
7,39,Juniperus phoenicea,VSC,2,7,-1.55,0.8632,5.6e-05,-,-,-,-,-
7,39,Juniperus phoenicea,IAVC,2,21,-,-,2.33e-05,2.138e-08,-,-,-,-
7,39,Juniperus phoenicea,VLE,2,12,-,-,-,0,7.3e-05,2.28991,-,-
7,39,Juniperus phoenicea,VCC,3,1,20.57,0.000269,-,-,-,-,-,-
7,39,Juniperus phoenicea,VSC,3,7,-1.55,0.8632,5.6e-05,-,-,-,-,-
7,39,Juniperus phoenicea,IAVC,3,21,-,-,2.33e-05,2.138e-08,-,-,-,-
7,39,Juniperus phoenicea,VLE,3,12,-,-,-,0,7.3e-05,2.28991,-,-
7,39,Juniperus phoenicea,VCC,5,1,20.57,0.000269,-,-,-,-,-,-
7,39,Juniperus phoenicea,VSC,5,7,-1.55,0.8632,5.6e-05,-,-,-,-,-
7,39,Juniperus phoenicea,IAVC,5,21,-,-,2.33e-05,2.138e-08,-,-,-,-
7,39,Juniperus phoenicea,VLE,5,12,-,-,-,0,7.3e-05,2.28991,-,-
7,44,Quercus faginea,VCC,2,11,-,-,-,0,0.0009262,1.89457,0.7949,-
7,44,Quercus faginea,VSC,2,7,-16.94,0.8287692,1.19e-05,0,-,-,-,-
7,44,Quercus faginea,IAVC,2,21,-,-,4.4e-05,-1.34e-09,-,-,-,-
7,44,Quercus faginea,VLE,2,12,-,-,-,0,3.63e-05,2.46992,-,-
7,44,Quercus faginea,VCC,4,11,-,-,-,0,0.0017512,1.92524,0.2026,-
7,44,Quercus faginea,VSC,4,7,-10.86,0.8275537,3.79e-05,0,-,-,-,-
7,44,Quercus faginea,IAVC,4,21,-,-,4.4e-05,-1.34e-09,-,-,-,-
7,44,Quercus faginea,VLE,4,12,-,-,-,0,3.63e-05,2.46992,-,-
7,44,Quercus faginea,VCC,5,11,-,-,-,0,0.0006715,1.94593,0.70858,-
7,44,Quercus faginea,VSC,5,7,-23.08,0.8511002,7.2e-06,0,-,-,-,-
7,44,Quercus faginea,IAVC,5,21,-,-,4.4e-05,-1.34e-09,-,-,-,-
7,44,Quercus faginea,VLE,5,12,-,-,-,0,3.63e-05,2.46992,-,-
7,45,Quercus ilex ssp. ballota,VCC,2,1,49.26,0.000261,-,-,-,-,-,-
7,45,Quercus ilex ssp. ballota,VSC,2,7,-15.83,0.8795,6e-07,-,-,-,-,-
7,45,Quercus ilex ssp. ballota,IAVC,2,21,-,-,4.4e-05,-1.34e-09,-,-,-,-
7,45,Quercus ilex ssp. ballota,VLE,2,12,-,-,-,0,3.19e-05,2.56596,-,-
7,45,Quercus ilex ssp. ballota,VCC,3,1,13.08,0.000271,-,-,-,-,-,-
7,45,Quercus ilex ssp. ballota,VSC,3,7,-0.4,0.7206,0.000395,-,-,-,-,-
7,45,Quercus ilex ssp. ballota,IAVC,3,21,-,-,4.4e-05,-1.34e-09,-,-,-,-
7,45,Quercus ilex ssp. ballota,VLE,3,12,-,-,-,0,3.19e-05,2.56596,-,-
7,45,Quercus ilex ssp. ballota,VCC,4,1,17.11,0.000141,-,-,-,-,-,-
7,45,Quercus ilex ssp. ballota,VSC,4,7,-3.75,0.8348,2.7e-05,-,-,-,-,-
7,45,Quercus ilex ssp. ballota,IAVC,4,21,-,-,4.4e-05,-1.34e-09,-,-,-,-
7,45,Quercus ilex ssp. ballota,VLE,4,12,-,-,-,0,3.19e-05,2.56596,-,-
7,45,Quercus ilex ssp. ballota,VCC,5,1,26.44,0.00023,-,-,-,-,-,-
7,45,Quercus ilex ssp. ballota,VSC,5,7,-17.2,0.8972,-8e-06,-,-,-,-,-
7,45,Quercus ilex ssp. ballota,IAVC,5,21,-,-,4.4e-05,-1.34e-09,-,-,-,-
7,45,Quercus ilex ssp. ballota,VLE,5,12,-,-,-,0,3.19e-05,2.56596,-,-
7,66,Olea europaea,VCC,2,1,13.14,0.000236,-,-,-,-,-,-
7,66,Olea europaea,VSC,2,7,-3.02,0.8503,0.000113,-,-,-,-,-
7,66,Olea europaea,IAVC,2,21,-,-,6.12e-05,-3.466e-08,-,-,-,-
7,66,Olea europaea,VLE,2,12,-,-,-,0,0.0090069,1.42613,-,-
7,66,Olea europaea,VCC,3,1,13.14,0.000236,-,-,-,-,-,-
7,66,Olea europaea,VSC,3,7,-3.02,0.8503,0.000113,-,-,-,-,-
7,66,Olea europaea,IAVC,3,21,-,-,6.12e-05,-3.466e-08,-,-,-,-
7,66,Olea europaea,VLE,3,12,-,-,-,0,0.0090069,1.42613,-,-
7,66,Olea europaea,VCC,4,1,13.14,0.000236,-,-,-,-,-,-
7,66,Olea europaea,VSC,4,7,-3.02,0.8503,0.000113,-,-,-,-,-
7,66,Olea europaea,IAVC,4,21,-,-,6.12e-05,-3.466e-08,-,-,-,-
7,66,Olea europaea,VLE,4,12,-,-,-,0,0.0090069,1.42613,-,-
7,66,Olea europaea,VCC,5,1,13.14,0.000236,-,-,-,-,-,-
7,66,Olea europaea,VSC,5,7,-3.02,0.8503,0.000113,-,-,-,-,-
7,66,Olea europaea,IAVC,5,21,-,-,6.12e-05,-3.466e-08,-,-,-,-
7,66,Olea europaea,VLE,5,12,-,-,-,0,0.0090069,1.42613,-,-
7,67,Ceratonia siliqua,VCC,4,1,17.11,0.000141,-,-,-,-,-,-
7,67,Ceratonia siliqua,VSC,4,7,-3.75,0.8348,2.7e-05,-,-,-,-,-
7,67,Ceratonia siliqua,IAVC,4,21,-,-,3.53e-05,-1.276e-08,-,-,-,-
7,67,Ceratonia siliqua,VLE,4,12,-,-,-,0,3.19e-05,2.56596,-,-
7,67,Ceratonia siliqua,VCC,5,1,26.44,0.00023,-,-,-,-,-,-
7,67,Ceratonia siliqua,VSC,5,7,-17.2,0.8972,-8e-06,-,-,-,-,-
7,67,Ceratonia siliqua,IAVC,5,21,-,-,3.53e-05,-1.276e-08,-,-,-,-
7,67,Ceratonia siliqua,VLE,5,12,-,-,-,0,3.19e-05,2.56596,-,-
7,68,Arbutus unedo ,VCC,5,1,20.57,0.000269,-,-,-,-,-,-
7,68,Arbutus unedo ,VSC,5,7,-1.55,0.8632,5.6e-05,-,-,-,-,-
7,68,Arbutus unedo ,IAVC,5,21,-,-,3.48e-05,8.912e-08,-,-,-,-
7,68,Arbutus unedo ,VLE,5,12,-,-,-,0,0.0090069,1.42613,-,-
7,95,Prunus spp.,VCC,5,1,13.14,0.000236,-,-,-,-,-,-
7,95,Prunus spp.,VSC,5,7,-3.02,0.8503,0.000113,-,-,-,-,-
7,95,Prunus spp.,IAVC,5,21,-,-,3.48e-05,8.912e-08,-,-,-,-
