PROVINCIA,CÓD ESPECIE,ESPECIE,PARÁMETRO,FORMA DE CUBICACIÓN,MODELO,A,B,C,D,P,Q,R,DNM
9,307,Acacia dealbata,VCC,5,11,0.0,0.0,0.0,0.0,0.0004732,1.98799,0.75629,0.0
9,307,Acacia dealbata,VSC,5,7,-4.94,0.8041761,1.86e-05,0.0,0.0,0.0,0.0,0.0
9,307,Acacia dealbata,IAVC,5,21,0.0,0.0,0.000294386422970122,-1.83824516101661e-07,0.0,0.0,0.0,0.0
9,307,Acacia dealbata,VLE,5,12,0.0,0.0,0.0,0.0,0.0016601,1.7736,0.0,0.0
9,8,Phillyrea latifolia,VCC,3,11,0.0,0.0,0.0,0.0,0.0013079,1.89867,0.41737,0.0
9,8,Phillyrea latifolia,VSC,3,7,-3.0,0.8497195,0.000114,0.0,0.0,0.0,0.0,0.0
9,8,Phillyrea latifolia,IAVC,3,19,-2.59444,0.051863,-0.00023,3.65e-07,0.0,0.0,0.0,0.0
9,8,Phillyrea latifolia,VLE,3,12,0.0,0.0,0.0,0.0,0.0016601,1.7736,0.0,0.0
9,8,Phillyrea latifolia,VCC,5,11,0.0,0.0,0.0,0.0,0.0013079,1.89867,0.41737,0.0
9,8,Phillyrea latifolia,VSC,5,7,-3.0,0.8497195,0.000114,0.0,0.0,0.0,0.0,0.0
9,8,Phillyrea latifolia,IAVC,5,19,-2.59444,0.051863,-0.00023,3.65e-07,0.0,0.0,0.0,0.0
9,8,Phillyrea latifolia,VLE,5,12,0.0,0.0,0.0,0.0,0.0016601,1.7736,0.0,0.0
9,11,Ailanthus altissima,VCC,5,11,0.0,0.0,0.0,0.0,0.0017568,1.68729,0.93055,0.0
9,11,Ailanthus altissima,VSC,5,7,-4.44,0.8334608,8.16e-05,0.0,0.0,0.0,0.0,0.0
9,11,Ailanthus altissima,IAVC,5,21,0.0,0.0,0.000294386422970122,-1.83824516101661e-07,0.0,0.0,0.0,0.0
9,11,Ailanthus altissima,VLE,5,12,0.0,0.0,0.0,0.0,0.0010626,1.85153,0.0,0.0
9,12,Malus sylvestris,VCC,4,11,0.0,0.0,0.0,0.0,0.001823,1.8905,0.25855,0.0
9,12,Malus sylvestris,VSC,4,7,-8.76,0.8513181,1.48e-05,0.0,0.0,0.0,0.0,0.0
9,12,Malus sylvestris,IAVC,4,19,-2.59444,0.051863,-0.00023,3.65e-07,0.0,0.0,0.0,0.0
9,12,Malus sylvestris,VLE,4,12,0.0,0.0,0.0,0.0,0.0016601,1.7736,0.0,0.0
9,12,Malus sylvestris,VCC,5,11,0.0,0.0,0.0,0.0,0.0007656,1.91434,0.69702,0.0
9,12,Malus sylvestris,VSC,5,7,-5.12,0.8635482,-3.9e-06,0.0,0.0,0.0,0.0,0.0
9,12,Malus sylvestris,IAVC,5,19,-2.59444,0.051863,-0.00023,3.65e-07,0.0,0.0,0.0,0.0
9,12,Malus sylvestris,VLE,5,12,0.0,0.0,0.0,0.0,0.0016601,1.7736,0.0,0.0
9,14,Taxus baccata,VCC,2,11,0.0,0.0,0.0,0.0,0.0004841,1.99916,0.87623,0.0
9,14,Taxus baccata,VSC,2,7,-12.37,0.83297,7.4e-06,0.0,0.0,0.0,0.0,0.0
9,14,Taxus baccata,IAVC,2,20,-5.8561,0.075691,0.0,-9.5e-08,0.0,0.0,0.0,0.0
9,14,Taxus baccata,VLE,2,12,0.0,0.0,0.0,0.0,0.0001194,2.14645,0.0,0.0
9,14,Taxus baccata,VCC,3,11,0.0,0.0,0.0,0.0,0.0002406,2.31217,0.31431,0.0
9,14,Taxus baccata,VSC,3,7,-0.23,0.7249978,0.0002663,0.0,0.0,0.0,0.0,0.0
9,14,Taxus baccata,IAVC,3,20,-5.8561,0.075691,0.0,-9.5e-08,0.0,0.0,0.0,0.0
9,14,Taxus baccata,VLE,3,12,0.0,0.0,0.0,0.0,0.0001194,2.14645,0.0,0.0
9,14,Taxus baccata,VCC,5,11,0.0,0.0,0.0,0.0,0.0157251,1.42043,0.67526,0.0
9,14,Taxus baccata,VSC,5,7,-7.48,0.8345479,1.43e-05,0.0,0.0,0.0,0.0,0.0
9,14,Taxus baccata,IAVC,5,20,-5.8561,0.075691,0.0,-9.5e-08,0.0,0.0,0.0,0.0
9,14,Taxus baccata,VLE,5,12,0.0,0.0,0.0,0.0,0.0001194,2.14645,0.0,0.0
9,215,Crataegus monogyna,VCC,2,11,0.0,0.0,0.0,0.0,0.0010355,1.82111,0.8893,0.0
