PROVINCIA,CÓD ESPECIE,ESPECIE,PARÁMETRO,FORMA DE CUBICACIÓN,MODELO,A,B,C,D,P,Q,R
12,8,Phillyrea latifolia,VCC,3,11,0.0,0.0,0.0,0.0,0.0013079,1.89867,0.41737
12,8,Phillyrea latifolia,VSC,3,7,-3.0,0.8497195,0.000114,0.0,0.0,0.0,0.0
12,8,Phillyrea latifolia,IAVC,3,21,0.0,0.0,4.07239008671169e-05,-1.32743200288277e-07,0.0,0.0,0.0
12,8,Phillyrea latifolia,VLE,3,12,0.0,0.0,0.0,0.0,0.0090069,1.42613,0.0
12,8,Phillyrea latifolia,VCC,5,11,0.0,0.0,0.0,0.0,0.0013079,1.89867,0.41737
12,8,Phillyrea latifolia,VSC,5,7,-3.0,0.8497195,0.000114,0.0,0.0,0.0,0.0
12,8,Phillyrea latifolia,IAVC,5,21,0.0,0.0,4.07239008671169e-05,-1.32743200288277e-07,0.0,0.0,0.0
12,8,Phillyrea latifolia,VLE,5,12,0.0,0.0,0.0,0.0,0.0090069,1.42613,0.0
12,13,Celtis australis,VCC,5,11,0.0,0.0,0.0,0.0,0.0017568,1.68729,0.93055
12,13,Celtis australis,VSC,5,7,-4.44,0.8334608,8.16e-05,0.0,0.0,0.0,0.0
12,13,Celtis australis,IAVC,5,21,0.0,0.0,0.000108031302745056,-1.8435631008922e-07,0.0,0.0,0.0
12,13,Celtis australis,VLE,5,12,0.0,0.0,0.0,0.0,0.0010626,1.85153,0.0
12,14,Taxus baccata,VCC,3,11,0.0,0.0,0.0,0.0,0.0028903,1.71624,0.70819
12,14,Taxus baccata,VSC,3,7,-7.28,0.8910046,1.53e-05,0.0,0.0,0.0,0.0
12,14,Taxus baccata,IAVC,3,14,0.0,0.0,0.0,0.0,0.00233718748391946,1.20617356694358,0.0
12,14,Taxus baccata,VLE,3,12,0.0,0.0,0.0,0.0,2.49e-05,2.44751,0.0
12,14,Taxus baccata,VCC,5,11,0.0,0.0,0.0,0.0,0.0028903,1.71624,0.70819
12,14,Taxus baccata,VSC,5,7,-7.28,0.8910046,1.53e-05,0.0,0.0,0.0,0.0
12,14,Taxus baccata,IAVC,5,14,0.0,0.0,0.0,0.0,0.00233718748391946,1.20617356694358,0.0
12,14,Taxus baccata,VLE,5,12,0.0,0.0,0.0,0.0,2.49e-05,2.44751,0.0
12,15,Crataegus spp.,VCC,5,11,0.0,0.0,0.0,0.0,0.0013079,1.89867,0.41737
12,15,Crataegus spp.,VSC,5,7,-3.0,0.8497195,0.000114,0.0,0.0,0.0,0.0
12,15,Crataegus spp.,IAVC,5,21,0.0,0.0,4.07239008671169e-05,-1.32743200288277e-07,0.0,0.0,0.0
12,15,Crataegus spp.,VLE,5,12,0.0,0.0,0.0,0.0,0.0090069,1.42613,0.0
12,16,Pyrus spp.,VCC,5,11,0.0,0.0,0.0,0.0,0.0006715,1.94593,0.70858
