COMUNIDAD AUTÓNOMA,CÓD ESPECIE,ESPECIE,PARÁMETRO,FORMA DE CUBICACIÓN,MODELO,A,B,C,D,P,Q,R,DNM
70,307,Acacia dealbata,VCC,2,1,35.74,0.00021,0.0,0.0,0.0,0.0,0.0,0
70,307,Acacia dealbata,VSC,2,7,-4.45,0.8335933,8.15e-05,0.0,0.0,0.0,0.0,0
70,307,Acacia dealbata,IAVC,2,21,0.0,0.0,0.000134626542963706,-1.37948484027548e-07,0.0,0.0,0.0,0
70,307,Acacia dealbata,VLE,2,12,0.0,0.0,0.0,0.0,2.71e-05,2.51797,0.0,0
70,8,Phillyrea latifolia,VCC,2,1,28.73,0.0003222,0.0,0.0,0.0,0.0,0.0,0
70,8,Phillyrea latifolia,VSC,2,7,-6.2,0.8544971,-5.9e-06,0.0,0.0,0.0,0.0,0
70,8,Phillyrea latifolia,IAVC,2,21,0.0,0.0,0.000134626542963706,-1.37948484027548e-07,0.0,0.0,0.0,0
70,8,Phillyrea latifolia,VLE,2,12,0.0,0.0,0.0,0.0,2.71e-05,2.51797,0.0,0
70,8,Phillyrea latifolia,VCC,3,1,28.73,0.0003222,0.0,0.0,0.0,0.0,0.0,0
70,8,Phillyrea latifolia,VSC,3,7,-6.2,0.8544971,-5.9e-06,0.0,0.0,0.0,0.0,0
70,8,Phillyrea latifolia,IAVC,3,21,0.0,0.0,0.000134626542963706,-1.37948484027548e-07,0.0,0.0,0.0,0
70,8,Phillyrea latifolia,VLE,3,12,0.0,0.0,0.0,0.0,2.71e-05,2.51797,0.0,0
70,8,Phillyrea latifolia,VCC,5,1,28.73,0.0003222,0.0,0.0,0.0,0.0,0.0,0
70,8,Phillyrea latifolia,VSC,5,7,-6.2,0.8544971,-5.9e-06,0.0,0.0,0.0,0.0,0
70,8,Phillyrea latifolia,IAVC,5,21,0.0,0.0,0.000134626542963706,-1.37948484027548e-07,0.0,0.0,0.0,0
70,8,Phillyrea latifolia,VLE,5,12,0.0,0.0,0.0,0.0,2.71e-05,2.51797,0.0,0
70,11,Ailanthus altissima,VCC,2,1,28.73,0.0003222,0.0,0.0,0.0,0.0,0.0,0
70,11,Ailanthus altissima,VSC,2,7,-6.2,0.8544971,-5.9e-06,0.0,0.0,0.0,0.0,0
70,11,Ailanthus altissima,IAVC,2,21,0.0,0.0,0.000331377349730853,-4.90837631561146e-07,0.0,0.0,0.0,0
70,11,Ailanthus altissima,VLE,2,12,0.0,0.0,0.0,0.0,2.71e-05,2.51797,0.0,0
70,11,Ailanthus altissima,VCC,3,1,28.73,0.0003222,0.0,0.0,0.0,0.0,0.0,0
70,11,Ailanthus altissima,VSC,3,7,-6.2,0.8544971,-5.9e-06,0.0,0.0,0.0,0.0,0
70,11,Ailanthus altissima,IAVC,3,21,0.0,0.0,0.000331377349730853,-4.90837631561146e-07,0.0,0.0,0.0,0
70,11,Ailanthus altissima,VLE,3,12,0.0,0.0,0.0,0.0,2.71e-05,2.51797,0.0,0
70,12,Malus sylvestris,VCC,2,1,-5.35,0.000365,0.0,0.0,0.0,0.0,0.0,0
70,12,Malus sylvestris,VSC,2,7,-4.94,0.8041414,1.86e-05,0.0,0.0,0.0,0.0,0
70,12,Malus sylvestris,IAVC,2,21,0.0,0.0,0.000134626542963706,-1.37948484027548e-07,0.0,0.0,0.0,0
