PROVINCIA,CÓD ESPECIE,ESPECIE,PARÁMETRO,FORMA DE CUBICACIÓN,MODELO,A,B,C,D,P,Q,R
13,8,Phillyrea latifolia,VCC,3,11,0.0,0.0,0.0,0.0,0.0013079,1.89867,0.41737
13,8,Phillyrea latifolia,VSC,3,7,-3.0,0.8497195,0.000114,0.0,0.0,0.0,0.0
13,8,Phillyrea latifolia,IAVC,3,21,0.0,0.0,1.50019695126004e-05,1.18478503479497e-07,0.0,0.0,0.0
13,8,Phillyrea latifolia,VLE,3,12,0.0,0.0,0.0,0.0,0.0090069,1.42613,0.0
13,8,Phillyrea latifolia,VCC,5,11,0.0,0.0,0.0,0.0,0.0013079,1.89867,0.41737
13,8,Phillyrea latifolia,VSC,5,7,-3.0,0.8497195,0.000114,0.0,0.0,0.0,0.0
13,8,Phillyrea latifolia,IAVC,5,21,0.0,0.0,1.50019695126004e-05,1.18478503479497e-07,0.0,0.0,0.0
13,8,Phillyrea latifolia,VLE,5,12,0.0,0.0,0.0,0.0,0.0090069,1.42613,0.0
13,12,Malus sylvestris,VCC,3,11,0.0,0.0,0.0,0.0,0.0013079,1.89867,0.41737
13,12,Malus sylvestris,VSC,3,7,-3.0,0.8497195,0.000114,0.0,0.0,0.0,0.0
13,12,Malus sylvestris,IAVC,3,21,0.0,0.0,1.50019695126004e-05,1.18478503479497e-07,0.0,0.0,0.0
13,12,Malus sylvestris,VLE,3,12,0.0,0.0,0.0,0.0,0.0090069,1.42613,0.0
13,12,Malus sylvestris,VCC,5,11,0.0,0.0,0.0,0.0,0.0013079,1.89867,0.41737
13,12,Malus sylvestris,VSC,5,7,-3.0,0.8497195,0.000114,0.0,0.0,0.0,0.0
13,12,Malus sylvestris,IAVC,5,21,0.0,0.0,1.50019695126004e-05,1.18478503479497e-07,0.0,0.0,0.0
13,12,Malus sylvestris,VLE,5,12,0.0,0.0,0.0,0.0,0.0090069,1.42613,0.0
13,215,Crataegus monogyna,VCC,5,11,0.0,0.0,0.0,0.0,9.9e-05,2.16832,1.21117
13,215,Crataegus monogyna,VSC,5,7,0.19,0.7891678,0.000308,0.0,0.0,0.0,0.0
13,215,Crataegus monogyna,IAVC,5,21,0.0,0.0,1.50019695126004e-05,1.18478503479497e-07,0.0,0.0,0.0
13,215,Crataegus monogyna,VLE,5,12,0.0,0.0,0.0,0.0,0.0090069,1.42613,0.0
13,23,Pinus pinea,VCC,2,11,0.0,0.0,0.0,0.0,0.0008805,1.85169,0.97553
13,23,Pinus pinea,VSC,2,7,5.5,0.6130821,0.0001854,0.0,0.0,0.0,0.0
13,23,Pinus pinea,IAVC,2,21,0.0,0.0,0.000237312754486984,-2.63309591777945e-07,0.0,0.0,0.0
13,23,Pinus pinea,VLE,2,12,0.0,0.0,0.0,0.0,8e-07,3.04558,0.0
13,23,Pinus pinea,VCC,3,11,0.0,0.0,0.0,0.0,0.0006501,2.08745,0.40231
13,23,Pinus pinea,VSC,3,7,0.54,0.6208698,0.0005999,0.0,0.0,0.0,0.0
13,23,Pinus pinea,IAVC,3,21,0.0,0.0,0.000237312754486984,-2.63309591777945e-07,0.0,0.0,0.0
13,23,Pinus pinea,VLE,3,12,0.0,0.0,0.0,0.0,8e-07,3.04558,0.0
13,23,Pinus pinea,VCC,4,11,0.0,0.0,0.0,0.0,0.0023526,1.69596,0.74706
13,23,Pinus pinea,VSC,4,7,-2.47,0.697939,0.0001326,0.0,0.0,0.0,0.0
13,23,Pinus pinea,IAVC,4,21,0.0,0.0,0.000237312754486984,-2.63309591777945e-07,0.0,0.0,0.0
13,23,Pinus pinea,VLE,4,12,0.0,0.0,0.0,0.0,8e-07,3.04558,0.0
13,23,Pinus pinea,VCC,5,11,0.0,0.0,0.0,0.0,0.0005672,1.92039,0.8827
13,23,Pinus pinea,VSC,5,7,-5.03,0.7674858,6.11e-05,0.0,0.0,0.0,0.0
13,23,Pinus pinea,IAVC,5,21,0.0,0.0,0.000237312754486984,-2.63309591777945e-07,0.0,0.0,0.0
13,23,Pinus pinea,VLE,5,12,0.0,0.0,0.0,0.0,8e-07,3.04558,0.0
13,24,Pinus halepensis,VCC,2,11,0.0,0.0,0.0,0.0,0.001014,1.89836,0.75297
13,24,Pinus halepensis,VSC,2,7,-5.62,0.7402347,4.02e-05,0.0,0.0,0.0,0.0
