PROVINCIA,CÓD ESPECIE,ESPECIE,PARÁMETRO,FORMA DE CUBICACIÓN,MODELO,A,B,C,D,P,Q,R
16,215,Crataegus monogyna,VCC,3,11,0.0,0.0,0.0,0.0,0.0017568,1.68729,0.93055
16,215,Crataegus monogyna,VSC,3,7,-4.44,0.8334608,8.16e-05,0.0,0.0,0.0,0.0
16,215,Crataegus monogyna,IAVC,3,14,0.0,0.0,0.0,0.0,1.76172898797932e-05,2.07282831604632,0.0
16,215,Crataegus monogyna,VLE,3,12,0.0,0.0,0.0,0.0,0.0010626,1.85153,0.0
16,215,Crataegus monogyna,VCC,5,11,0.0,0.0,0.0,0.0,0.0017568,1.68729,0.93055
16,215,Crataegus monogyna,VSC,5,7,-4.44,0.8334608,8.16e-05,0.0,0.0,0.0,0.0
16,215,Crataegus monogyna,IAVC,5,14,0.0,0.0,0.0,0.0,1.76172898797932e-05,2.07282831604632,0.0
16,215,Crataegus monogyna,VLE,5,12,0.0,0.0,0.0,0.0,0.0010626,1.85153,0.0
16,21,Pinus sylvestris,VCC,1,11,0.0,0.0,0.0,0.0,0.0004607,1.99032,0.92378
16,21,Pinus sylvestris,VSC,1,7,-8.43,0.8371148,2.3e-05,0.0,0.0,0.0,0.0
16,21,Pinus sylvestris,IAVC,1,20,-1.02452753834529,0.0361335764263226,0.0,9.9101938603098e-10,0.0,0.0,0.0
16,21,Pinus sylvestris,VLE,1,12,0.0,0.0,0.0,0.0,0.0001194,2.14645,0.0
16,21,Pinus sylvestris,VCC,2,11,0.0,0.0,0.0,0.0,0.0004607,1.99032,0.92378
16,21,Pinus sylvestris,VSC,2,7,-8.43,0.8371148,2.3e-05,0.0,0.0,0.0,0.0
16,21,Pinus sylvestris,IAVC,2,20,-1.02452753834529,0.0361335764263226,0.0,9.9101938603098e-10,0.0,0.0,0.0
16,21,Pinus sylvestris,VLE,2,12,0.0,0.0,0.0,0.0,0.0001194,2.14645,0.0
16,21,Pinus sylvestris,VCC,3,11,0.0,0.0,0.0,0.0,0.0004437,2.15537,0.40789
16,21,Pinus sylvestris,VSC,3,7,0.81,0.6942323,0.0007908,0.0,0.0,0.0,0.0
16,21,Pinus sylvestris,IAVC,3,20,-1.02452753834529,0.0361335764263226,0.0,9.9101938603098e-10,0.0,0.0,0.0
16,21,Pinus sylvestris,VLE,3,12,0.0,0.0,0.0,0.0,0.0001194,2.14645,0.0
16,21,Pinus sylvestris,VCC,5,11,0.0,0.0,0.0,0.0,0.000692,2.09689,0.30199
16,21,Pinus sylvestris,VSC,5,7,-4.6,0.8248336,3.94e-05,0.0,0.0,0.0,0.0
16,21,Pinus sylvestris,IAVC,5,20,-1.02452753834529,0.0361335764263226,0.0,9.9101938603098e-10,0.0,0.0,0.0
16,21,Pinus sylvestris,VLE,5,12,0.0,0.0,0.0,0.0,0.0001194,2.14645,0.0
16,23,Pinus pinea,VCC,2,11,0.0,0.0,0.0,0.0,0.0012744,1.78673,0.98723
16,23,Pinus pinea,VSC,2,7,-5.64,0.7170633,5.47e-05,0.0,0.0,0.0,0.0
16,23,Pinus pinea,IAVC,2,20,0.0335991117893015,0.018886658124134,0.0,1.17810238797146e-07,0.0,0.0,0.0
16,23,Pinus pinea,VLE,2,12,0.0,0.0,0.0,0.0,8e-07,3.04558,0.0
16,23,Pinus pinea,VCC,3,11,0.0,0.0,0.0,0.0,0.0006501,2.08745,0.40231
16,23,Pinus pinea,VSC,3,7,0.54,0.6208698,0.0005999,0.0,0.0,0.0,0.0
16,23,Pinus pinea,IAVC,3,20,0.0335991117893015,0.018886658124134,0.0,1.17810238797146e-07,0.0,0.0,0.0
16,23,Pinus pinea,VLE,3,12,0.0,0.0,0.0,0.0,8e-07,3.04558,0.0
16,23,Pinus pinea,VCC,4,11,0.0,0.0,0.0,0.0,0.0023526,1.69596,0.74706
16,23,Pinus pinea,VSC,4,7,-2.47,0.697939,0.0001326,0.0,0.0,0.0,0.0
