PROVINCIA,CÓD ESPECIE,ESPECIE,PARÁMETRO,FORMA DE CUBICACIÓN,MODELO,A,B,C,D,P,Q,R
19,11,Ailanthus altissima,VCC,2,11,0.0,0.0,0.0,0.0,0.0008668,1.80781,1.00658
19,11,Ailanthus altissima,VSC,2,7,-4.04,0.9169635,3.1e-06,0.0,0.0,0.0,0.0
19,11,Ailanthus altissima,IAVC,2,21,0.0,0.0,0.000189635578674576,-2.71999780281304e-07,0.0,0.0,0.0
19,11,Ailanthus altissima,VLE,2,12,0.0,0.0,0.0,0.0,1e-07,3.52547,0.0
19,11,Ailanthus altissima,VCC,3,11,0.0,0.0,0.0,0.0,0.0008668,1.80781,1.00658
19,11,Ailanthus altissima,VSC,3,7,-4.04,0.9169635,3.1e-06,0.0,0.0,0.0,0.0
19,11,Ailanthus altissima,IAVC,3,21,0.0,0.0,0.000189635578674576,-2.71999780281304e-07,0.0,0.0,0.0
19,11,Ailanthus altissima,VLE,3,12,0.0,0.0,0.0,0.0,1e-07,3.52547,0.0
19,12,Malus sylvestris,VCC,3,11,0.0,0.0,0.0,0.0,0.0017568,1.68729,0.93055
19,12,Malus sylvestris,VSC,3,7,-4.44,0.8334608,8.16e-05,0.0,0.0,0.0,0.0
19,12,Malus sylvestris,IAVC,3,21,0.0,0.0,0.000189635578674576,-2.71999780281304e-07,0.0,0.0,0.0
19,12,Malus sylvestris,VLE,3,12,0.0,0.0,0.0,0.0,0.0010626,1.85153,0.0
19,12,Malus sylvestris,VCC,5,11,0.0,0.0,0.0,0.0,0.0017568,1.68729,0.93055
19,12,Malus sylvestris,VSC,5,7,-4.44,0.8334608,8.16e-05,0.0,0.0,0.0,0.0
19,12,Malus sylvestris,IAVC,5,21,0.0,0.0,0.000189635578674576,-2.71999780281304e-07,0.0,0.0,0.0
19,12,Malus sylvestris,VLE,5,12,0.0,0.0,0.0,0.0,0.0010626,1.85153,0.0
19,215,Crataegus monogyna,VCC,5,11,0.0,0.0,0.0,0.0,0.0017568,1.68729,0.93055
19,215,Crataegus monogyna,VSC,5,7,-4.44,0.8334608,8.16e-05,0.0,0.0,0.0,0.0
19,215,Crataegus monogyna,IAVC,5,21,0.0,0.0,0.000189635578674576,-2.71999780281304e-07,0.0,0.0,0.0
19,215,Crataegus monogyna,VLE,5,12,0.0,0.0,0.0,0.0,0.0010626,1.85153,0.0
19,21,Pinus sylvestris,VCC,2,11,0.0,0.0,0.0,0.0,0.0005737,1.96972,0.88583
19,21,Pinus sylvestris,VSC,2,7,-7.07,0.8197169,2.29e-05,0.0,0.0,0.0,0.0
19,21,Pinus sylvestris,IAVC,2,20,0.911163215396492,0.0260866638114131,0.0,3.32513283969703e-08,0.0,0.0,0.0
19,21,Pinus sylvestris,VLE,2,12,0.0,0.0,0.0,0.0,0.0001194,2.14645,0.0
19,21,Pinus sylvestris,VCC,3,11,0.0,0.0,0.0,0.0,0.0001668,2.34799,0.44902
19,21,Pinus sylvestris,VSC,3,7,0.32,0.7590795,8.53e-05,0.0,0.0,0.0,0.0
19,21,Pinus sylvestris,IAVC,3,20,0.911163215396492,0.0260866638114131,0.0,3.32513283969703e-08,0.0,0.0,0.0
19,21,Pinus sylvestris,VLE,3,12,0.0,0.0,0.0,0.0,0.0001194,2.14645,0.0
19,21,Pinus sylvestris,VCC,5,11,0.0,0.0,0.0,0.0,0.000692,2.09689,0.30199
19,21,Pinus sylvestris,VSC,5,7,-4.6,0.8248336,3.94e-05,0.0,0.0,0.0,0.0
19,21,Pinus sylvestris,IAVC,5,20,0.911163215396492,0.0260866638114131,0.0,3.32513283969703e-08,0.0,0.0,0.0
19,21,Pinus sylvestris,VLE,5,12,0.0,0.0,0.0,0.0,0.0001194,2.14645,0.0
19,23,Pinus pinea,VCC,2,11,0.0,0.0,0.0,0.0,0.0014257,1.76673,0.98882
19,23,Pinus pinea,VSC,2,7,-16.05,0.7834317,2.05e-05,0.0,0.0,0.0,0.0
19,23,Pinus pinea,IAVC,2,14,0.0,0.0,0.0,0.0,0.0025422104518611,1.37960687520111,0.0
19,23,Pinus pinea,VLE,2,12,0.0,0.0,0.0,0.0,8e-07,3.04558,0.0
19,23,Pinus pinea,VCC,3,11,0.0,0.0,0.0,0.0,0.0019412,1.90296,0.31746
19,23,Pinus pinea,VSC,3,7,2.49,0.5722811,0.0009123,0.0,0.0,0.0,0.0
19,23,Pinus pinea,IAVC,3,14,0.0,0.0,0.0,0.0,0.0025422104518611,1.37960687520111,0.0
19,23,Pinus pinea,VLE,3,12,0.0,0.0,0.0,0.0,8e-07,3.04558,0.0
19,24,Pinus halepensis,VCC,2,11,0.0,0.0,0.0,0.0,0.001014,1.89836,0.75297
