PROVINCIA,CÓD ESPECIE,ESPECIE,PARÁMETRO,FORMA DE CUBICACIÓN,MODELO,A,B,C,D,P,Q,R
22,8,Phillyrea latifolia,VCC,2,11,0.0,0.0,0.0,0.0,0.0013079,1.89867,0.41737
22,8,Phillyrea latifolia,VSC,2,7,-3.0,0.8497195,0.000114,0.0,0.0,0.0,0.0
22,8,Phillyrea latifolia,IAVC,2,21,0.0,0.0,5.77734902428841e-05,-2.0078e-07,0.0,0.0,0.0
22,8,Phillyrea latifolia,VLE,2,12,0.0,0.0,0.0,0.0,0.0090069,1.42613,0.0
22,8,Phillyrea latifolia,VCC,3,11,0.0,0.0,0.0,0.0,0.0013079,1.89867,0.41737
22,8,Phillyrea latifolia,VSC,3,7,-3.0,0.8497195,0.000114,0.0,0.0,0.0,0.0
22,8,Phillyrea latifolia,IAVC,3,21,0.0,0.0,5.77734902428841e-05,-2.0078e-07,0.0,0.0,0.0
22,8,Phillyrea latifolia,VLE,3,12,0.0,0.0,0.0,0.0,0.0090069,1.42613,0.0
22,8,Phillyrea latifolia,VCC,5,11,0.0,0.0,0.0,0.0,0.0013079,1.89867,0.41737
22,8,Phillyrea latifolia,VSC,5,7,-3.0,0.8497195,0.000114,0.0,0.0,0.0,0.0
22,8,Phillyrea latifolia,IAVC,5,21,0.0,0.0,5.77734902428841e-05,-2.0078e-07,0.0,0.0,0.0
22,8,Phillyrea latifolia,VLE,5,12,0.0,0.0,0.0,0.0,0.0090069,1.42613,0.0
22,11,Ailanthus altissima,VCC,2,11,0.0,0.0,0.0,0.0,0.0017568,1.68729,0.93055
22,11,Ailanthus altissima,VSC,2,7,-4.44,0.8334608,8.16e-05,0.0,0.0,0.0,0.0
22,11,Ailanthus altissima,IAVC,2,21,0.0,0.0,0.000120863970777122,-9.941e-08,0.0,0.0,0.0
22,11,Ailanthus altissima,VLE,2,12,0.0,0.0,0.0,0.0,0.0010626,1.85153,0.0
22,11,Ailanthus altissima,VCC,5,11,0.0,0.0,0.0,0.0,0.0017568,1.68729,0.93055
