COMUNIDAD AUTÓNOMA,CÓD ESPECIE,ESPECIE,PARÁMETRO,FORMA DE CUBICACIÓN,MODELO,A,B,C,D,P,Q,R,DNM
26,12,Malus sylvestris,VCC,5,1,62.78,0.0001897,0.0,0.0,0.0,0.0,0.0,0
26,12,Malus sylvestris,VSC,5,7,-14.85,0.8582139,3.9e-06,0.0,0.0,0.0,0.0,0
26,12,Malus sylvestris,IAVC,5,21,0.0,0.0,0.0001495,-2.0179e-07,0.0,0.0,0.0,0
26,12,Malus sylvestris,VLE,5,12,0.0,0.0,0.0,0.0,0.0016601,1.7736,0.0,0
26,14,Taxus baccata,VCC,5,1,28.73,0.0003458,0.0,0.0,0.0,0.0,0.0,0
26,14,Taxus baccata,VSC,5,7,-4.32,0.7946056,1.2e-05,0.0,0.0,0.0,0.0,0
26,14,Taxus baccata,IAVC,5,16,-4.9593,0.0003883,0.0,0.0,0.0,0.0,0.0,0
26,14,Taxus baccata,VLE,5,12,0.0,0.0,0.0,0.0,0.0001194,2.14645,0.0,0
26,215,Crataegus monogyna,VCC,2,11,0.0,0.0,0.0,0.0,0.0017568,1.68729,0.93055,0
26,215,Crataegus monogyna,VSC,2,7,-4.44,0.8334608,8.16e-05,0.0,0.0,0.0,0.0,0
26,215,Crataegus monogyna,IAVC,2,21,0.0,0.0,0.0001495,-2.0179e-07,0.0,0.0,0.0,0
26,215,Crataegus monogyna,VLE,2,12,0.0,0.0,0.0,0.0,0.0016601,1.7736,0.0,0
26,215,Crataegus monogyna,VCC,3,11,0.0,0.0,0.0,0.0,0.0017568,1.68729,0.93055,0
26,215,Crataegus monogyna,VSC,3,7,-4.44,0.8334608,8.16e-05,0.0,0.0,0.0,0.0,0
26,215,Crataegus monogyna,IAVC,3,21,0.0,0.0,0.0001495,-2.0179e-07,0.0,0.0,0.0,0
26,215,Crataegus monogyna,VLE,3,12,0.0,0.0,0.0,0.0,0.0016601,1.7736,0.0,0
26,215,Crataegus monogyna,VCC,5,11,0.0,0.0,0.0,0.0,0.0017568,1.68729,0.93055,0
26,215,Crataegus monogyna,VSC,5,7,-4.44,0.8334608,8.16e-05,0.0,0.0,0.0,0.0,0
26,215,Crataegus monogyna,IAVC,5,21,0.0,0.0,0.0001495,-2.0179e-07,0.0,0.0,0.0,0
26,215,Crataegus monogyna,VLE,5,12,0.0,0.0,0.0,0.0,0.0016601,1.7736,0.0,0
26,16,Pyrus spp.,VCC,5,1,62.78,0.0001897,0.0,0.0,0.0,0.0,0.0,0
26,16,Pyrus spp.,VSC,5,7,-14.85,0.8582139,3.9e-06,0.0,0.0,0.0,0.0,0
26,16,Pyrus spp.,IAVC,5,21,0.0,0.0,0.0001495,-2.0179e-07,0.0,0.0,0.0,0
26,16,Pyrus spp.,VLE,5,12,0.0,0.0,0.0,0.0,0.0016601,1.7736,0.0,0
26,21,Pinus sylvestris,VCC,1,1,20.28,0.0003294,0.0,0.0,0.0,0.0,0.0,0
26,21,Pinus sylvestris,VSC,1,7,-10.9,0.848589,7.6e-06,0.0,0.0,0.0,0.0,0
26,21,Pinus sylvestris,IAVC,1,21,0.0,0.0,0.0003235,-3.6587e-07,0.0,0.0,0.0,0
26,21,Pinus sylvestris,VLE,1,12,0.0,0.0,0.0,0.0,0.0001194,2.14645,0.0,0
26,21,Pinus sylvestris,VCC,2,1,20.28,0.0003294,0.0,0.0,0.0,0.0,0.0,0
26,21,Pinus sylvestris,VSC,2,7,-10.9,0.848589,7.6e-06,0.0,0.0,0.0,0.0,0
26,21,Pinus sylvestris,IAVC,2,21,0.0,0.0,0.0003235,-3.6587e-07,0.0,0.0,0.0,0
26,21,Pinus sylvestris,VLE,2,12,0.0,0.0,0.0,0.0,0.0001194,2.14645,0.0,0
26,21,Pinus sylvestris,VCC,3,1,3.87,0.0003096,0.0,0.0,0.0,0.0,0.0,0
26,21,Pinus sylvestris,VSC,3,7,-0.45,0.7625338,-0.0003165,0.0,0.0,0.0,0.0,0
26,21,Pinus sylvestris,IAVC,3,21,0.0,0.0,0.0003235,-3.6587e-07,0.0,0.0,0.0,0
26,21,Pinus sylvestris,VLE,3,12,0.0,0.0,0.0,0.0,0.0001194,2.14645,0.0,0
26,21,Pinus sylvestris,VCC,5,1,36.68,0.000206,0.0,0.0,0.0,0.0,0.0,0
26,21,Pinus sylvestris,VSC,5,7,-2.24,0.7698453,0.00026,0.0,0.0,0.0,0.0,0
26,21,Pinus sylvestris,IAVC,5,21,0.0,0.0,0.0003235,-3.6587e-07,0.0,0.0,0.0,0
26,21,Pinus sylvestris,VLE,5,12,0.0,0.0,0.0,0.0,0.0001194,2.14645,0.0,0
