PROVINCIA,CÓD ESPECIE,ESPECIE,PARÁMETRO,FORMA DE CUBICACIÓN,MODELO,A,B,C,D,P,Q,R
24,12,Malus sylvestris,VCC,4,11,0.0,0.0,0.0,0.0,0.0017568,1.68729,0.93055
24,12,Malus sylvestris,VSC,4,7,-4.44,0.8334608,8.16e-05,0.0,0.0,0.0,0.0
24,12,Malus sylvestris,IAVC,4,20,-1.49370415534725,0.021359945991893,0.0,-2.27178790798905e-07,0.0,0.0,0.0
24,12,Malus sylvestris,VLE,4,12,0.0,0.0,0.0,0.0,0.0010626,1.85153,0.0
24,12,Malus sylvestris,VCC,5,11,0.0,0.0,0.0,0.0,0.0017568,1.68729,0.93055
24,12,Malus sylvestris,VSC,5,7,-4.44,0.8334608,8.16e-05,0.0,0.0,0.0,0.0
24,12,Malus sylvestris,IAVC,5,20,-1.49370415534725,0.021359945991893,0.0,-2.27178790798905e-07,0.0,0.0,0.0
24,12,Malus sylvestris,VLE,5,12,0.0,0.0,0.0,0.0,0.0010626,1.85153,0.0
24,14,Taxus baccata,VCC,2,1,28.73,0.0003458,0.0,0.0,0.0,0.0,0.0
24,14,Taxus baccata,VSC,2,7,-9.15,0.7319546,2.54e-05,0.0,0.0,0.0,0.0
24,14,Taxus baccata,IAVC,2,21,0.0,0.0,0.000282980108610832,-3.81991764250325e-07,0.0,0.0,0.0
24,14,Taxus baccata,VLE,2,12,0.0,0.0,0.0,0.0,5.64e-05,2.24028,0.0
24,14,Taxus baccata,VCC,5,1,28.73,0.0003458,0.0,0.0,0.0,0.0,0.0
24,14,Taxus baccata,VSC,5,7,-9.15,0.7319546,2.54e-05,0.0,0.0,0.0,0.0
24,14,Taxus baccata,IAVC,5,21,0.0,0.0,0.000282980108610832,-3.81991764250325e-07,0.0,0.0,0.0
24,14,Taxus baccata,VLE,5,12,0.0,0.0,0.0,0.0,5.64e-05,2.24028,0.0
24,15,Crataegus spp.,VCC,3,11,0.0,0.0,0.0,0.0,0.0017568,1.68729,0.93055
24,15,Crataegus spp.,VSC,3,7,-4.44,0.8334608,8.16e-05,0.0,0.0,0.0,0.0
24,15,Crataegus spp.,IAVC,3,20,-1.49370415534725,0.021359945991893,0.0,-2.27178790798905e-07,0.0,0.0,0.0
24,15,Crataegus spp.,VLE,3,12,0.0,0.0,0.0,0.0,0.0010626,1.85153,0.0
24,15,Crataegus spp.,VCC,5,11,0.0,0.0,0.0,0.0,0.0017568,1.68729,0.93055
24,15,Crataegus spp.,VSC,5,7,-4.44,0.8334608,8.16e-05,0.0,0.0,0.0,0.0
24,15,Crataegus spp.,IAVC,5,20,-1.49370415534725,0.021359945991893,0.0,-2.27178790798905e-07,0.0,0.0,0.0
24,15,Crataegus spp.,VLE,5,12,0.0,0.0,0.0,0.0,0.0010626,1.85153,0.0
24,215,Crataegus monogyna,VCC,3,11,0.0,0.0,0.0,0.0,0.0017568,1.68729,0.93055
24,215,Crataegus monogyna,VSC,3,7,-4.44,0.8334608,8.16e-05,0.0,0.0,0.0,0.0
24,215,Crataegus monogyna,IAVC,3,20,-1.49370415534725,0.021359945991893,0.0,-2.27178790798905e-07,0.0,0.0,0.0
24,215,Crataegus monogyna,VLE,3,12,0.0,0.0,0.0,0.0,0.0010626,1.85153,0.0
24,215,Crataegus monogyna,VCC,5,11,0.0,0.0,0.0,0.0,0.0017568,1.68729,0.93055
24,215,Crataegus monogyna,VSC,5,7,-4.44,0.8334608,8.16e-05,0.0,0.0,0.0,0.0
