ESPECIE,PARÁMETRO,FORMA DE CUBICACIÓN,Modelo,A,B,C,D,P,Q,R,DNM
Pinus sylvestris,VCC,1.0,1.0,10.66,0.0003393,-,-,-,-,-,-
Pinus sylvestris,VCC,2.0,1.0,10.66,0.0003393,-,-,-,-,-,-
Pinus sylvestris,VCC,3.0,1.0,2.55,0.0003295,-,-,-,-,-,-
Pinus sylvestris,VCC,5.0,1.0,36.68,0.000206,-,-,-,-,-,-
Pinus sylvestris,VSC,1.0,7.0,-4.58,0.8366685,5.32e-05,-,-,-,-,-
Pinus sylvestris,VSC,2.0,7.0,-4.58,0.8366685,5.32e-05,-,-,-,-,-
Pinus sylvestris,VSC,3.0,7.0,-0.65,0.7831115,-8.5e-06,-,-,-,-,-
Pinus sylvestris,VSC,5.0,7.0,-3.43,0.8209285,0.000186,-,-,-,-,-
Pinus sylvestris,IAVC,1.0,21.0,-,-,0.0003816,-1.5258e-07,-,-,-,-
Pinus sylvestris,IAVC,2.0,21.0,-,-,0.0003816,-1.5258e-07,-,-,-,-
Pinus sylvestris,IAVC,3.0,21.0,-,-,0.0003816,-1.5258e-07,-,-,-,-
Pinus sylvestris,IAVC,5.0,21.0,-,-,0.0003816,-1.5258e-07,-,-,-,-
Pinus sylvestris,VLE,1.0,12.0,-,-,-,-,0.0001194,2.14645,-,-
Pinus sylvestris,VLE,2.0,12.0,-,-,-,-,0.0001194,2.14645,-,-
Pinus sylvestris,VLE,3.0,12.0,-,-,-,-,0.0001194,2.14645,-,-
Pinus sylvestris,VLE,5.0,12.0,-,-,-,-,0.0001194,2.14645,-,-
Pinus pinaster,VCC,1.0,1.0,25.95,0.0003052,-,-,-,-,-,-
Pinus pinaster,VCC,2.0,1.0,25.95,0.0003052,-,-,-,-,-,-
Pinus pinaster,VCC,3.0,1.0,6.38,0.0002405,-,-,-,-,-,-
Pinus pinaster,VCC,5.0,1.0,38.41,0.000208,-,-,-,-,-,-
Pinus pinaster,VSC,1.0,7.0,-15.67,0.7339778,1.52e-05,-,-,-,-,-
Pinus pinaster,VSC,2.0,7.0,-15.67,0.7339778,1.52e-05,-,-,-,-,-
Pinus pinaster,VSC,3.0,7.0,0.18,0.6607412,-0.0014076,-,-,-,-,-
Pinus pinaster,VSC,5.0,7.0,-2.4,0.640734,0.0001871,-,-,-,-,-
Pinus pinaster,IAVC,1.0,21.0,-,-,0.0003741,-9.29e-08,-,-,-,-
Pinus pinaster,IAVC,2.0,21.0,-,-,0.0003741,-9.29e-08,-,-,-,-
Pinus pinaster,IAVC,3.0,21.0,-,-,0.0003741,-9.29e-08,-,-,-,-
Pinus pinaster,IAVC,5.0,21.0,-,-,0.0003741,-9.29e-08,-,-,-,-
Pinus pinaster,VLE,1.0,12.0,-,-,-,-,5.64e-05,2.24028,-,-
Pinus pinaster,VLE,2.0,12.0,-,-,-,-,5.64e-05,2.24028,-,-
Pinus pinaster,VLE,3.0,12.0,-,-,-,-,5.64e-05,2.24028,-,-
Pinus pinaster,VLE,5.0,12.0,-,-,-,-,5.64e-05,2.24028,-,-
Pinus radiata,VCC,1.0,1.0,33.43,0.0002719,-,-,-,-,-,-
Pinus radiata,VCC,2.0,1.0,33.43,0.0002719,-,-,-,-,-,-
Pinus radiata,VCC,3.0,1.0,2.21,0.0002529,-,-,-,-,-,-
Pinus radiata,VCC,5.0,1.0,143.14,0.000149,-,-,-,-,-,-
Pinus radiata,VSC,1.0,7.0,-6.2,0.8062843,1.24e-05,-,-,-,-,-
Pinus radiata,VSC,2.0,7.0,-6.2,0.8062843,1.24e-05,-,-,-,-,-
Pinus radiata,VSC,3.0,7.0,-0.67,0.8758525,-0.0023044,-,-,-,-,-
Pinus radiata,VSC,5.0,7.0,14.12,0.6292313,0.0002362,-,-,-,-,-
Pinus radiata,IAVC,1.0,21.0,-,-,0.0009187,-9.5491e-07,-,-,-,-
