COMUNIDAD AUTÓNOMA,CÓD ESPECIE,ESPECIE,PARÁMETRO,FORMA DE CUBICACIÓN,MODELO,A,B,C,D,P,Q,R,DNM
28,11,Ailanthus altissima,VCC,3,1,109.53,0.0001481,0.0,0.0,0.0,0.0,0.0,0
28,11,Ailanthus altissima,VSC,3,7,-4.94,0.8041414,1.86e-05,0.0,0.0,0.0,0.0,0
28,11,Ailanthus altissima,IAVC,3,21,0.0,0.0,0.0003134,-4.7385e-07,0.0,0.0,0.0,0
28,11,Ailanthus altissima,VLE,3,12,0.0,0.0,0.0,0.0,0.0016601,1.7736,0.0,0
28,11,Ailanthus altissima,VCC,5,1,109.53,0.0001481,0.0,0.0,0.0,0.0,0.0,0
28,11,Ailanthus altissima,VSC,5,7,-4.94,0.8041414,1.86e-05,0.0,0.0,0.0,0.0,0
28,11,Ailanthus altissima,IAVC,5,21,0.0,0.0,0.0003134,-4.7385e-07,0.0,0.0,0.0,0
28,11,Ailanthus altissima,VLE,5,12,0.0,0.0,0.0,0.0,0.0016601,1.7736,0.0,0
28,13,Celtis australis,VCC,5,11,0.0,0.0,0.0,0.0,0.0007316,1.86222,0.94326,0
28,13,Celtis australis,VSC,5,7,-7.8,0.8086976,1.7e-06,0.0,0.0,0.0,0.0,0
28,13,Celtis australis,IAVC,5,21,0.0,0.0,0.0003134,-4.7385e-07,0.0,0.0,0.0,0
28,13,Celtis australis,VLE,5,12,0.0,0.0,0.0,0.0,0.0016601,1.7736,0.0,0
28,215,Crataegus monogyna,VCC,5,11,0.0,0.0,0.0,0.0,0.0002254,2.06989,0.94894,0
28,215,Crataegus monogyna,VSC,5,7,-0.79,0.8039236,2.27e-05,0.0,0.0,0.0,0.0,0
28,215,Crataegus monogyna,IAVC,5,21,0.0,0.0,0.0003134,-4.7385e-07,0.0,0.0,0.0,0
28,215,Crataegus monogyna,VLE,5,12,0.0,0.0,0.0,0.0,0.0016601,1.7736,0.0,0
28,17,Cedrus atlantica,VCC,2,1,46.83,0.0003123,0.0,0.0,0.0,0.0,0.0,0
28,17,Cedrus atlantica,VSC,2,7,-9.89,0.862627,1.21e-05,0.0,0.0,0.0,0.0,0
28,17,Cedrus atlantica,IAVC,2,21,0.0,0.0,0.0002703,-1.5571e-07,0.0,0.0,0.0,0
28,17,Cedrus atlantica,VLE,2,12,0.0,0.0,0.0,0.0,0.0001194,2.14645,0.0,0
28,21,Pinus sylvestris,VCC,1,1,46.83,0.0003123,0.0,0.0,0.0,0.0,0.0,0
28,21,Pinus sylvestris,VSC,1,7,-9.89,0.862627,1.21e-05,0.0,0.0,0.0,0.0,0
28,21,Pinus sylvestris,IAVC,1,20,-5.3345,0.0712148,0.0,-3.089e-08,0.0,0.0,0.0,0
28,21,Pinus sylvestris,VLE,1,12,0.0,0.0,0.0,0.0,0.0001194,2.14645,0.0,0
28,21,Pinus sylvestris,VCC,2,1,46.83,0.0003123,0.0,0.0,0.0,0.0,0.0,0
28,21,Pinus sylvestris,VSC,2,7,-9.89,0.862627,1.21e-05,0.0,0.0,0.0,0.0,0
28,21,Pinus sylvestris,IAVC,2,20,-5.3345,0.0712148,0.0,-3.089e-08,0.0,0.0,0.0,0
28,21,Pinus sylvestris,VLE,2,12,0.0,0.0,0.0,0.0,0.0001194,2.14645,0.0,0
28,21,Pinus sylvestris,VCC,3,1,4.48,0.0002828,0.0,0.0,0.0,0.0,0.0,0
28,21,Pinus sylvestris,VSC,3,7,-0.17,0.7481381,0.0006027,0.0,0.0,0.0,0.0,0
28,21,Pinus sylvestris,IAVC,3,20,-5.3345,0.0712148,0.0,-3.089e-08,0.0,0.0,0.0,0
28,21,Pinus sylvestris,VLE,3,12,0.0,0.0,0.0,0.0,0.0001194,2.14645,0.0,0
28,21,Pinus sylvestris,VCC,5,1,36.68,0.000206,0.0,0.0,0.0,0.0,0.0,0
28,21,Pinus sylvestris,VSC,5,7,-6.81,0.8731022,3.08e-05,0.0,0.0,0.0,0.0,0
28,21,Pinus sylvestris,IAVC,5,20,-5.3345,0.0712148,0.0,-3.089e-08,0.0,0.0,0.0,0
28,21,Pinus sylvestris,VLE,5,12,0.0,0.0,0.0,0.0,0.0001194,2.14645,0.0,0
28,22,Pinus uncinata,VCC,2,1,46.83,0.0003123,0.0,0.0,0.0,0.0,0.0,0
28,22,Pinus uncinata,VSC,2,7,-9.89,0.862627,1.21e-05,0.0,0.0,0.0,0.0,0
28,22,Pinus uncinata,IAVC,2,21,0.0,0.0,0.0002727,-5.6218e-07,0.0,0.0,0.0,0
