ESPECIE,PARÁMETRO,FORMA DE CUBICACIÓN,Modelo,A,B,C,D,P,Q,R,DNM
Crataegus monogyna,VCC,2,1,15.59,0.0002578,-,-,-,-,-,-
Crataegus monogyna,VCC,3,1,15.59,0.0002578,-,-,-,-,-,-
Crataegus monogyna,VCC,5,1,15.59,0.0002578,-,-,-,-,-,-
Crataegus monogyna,VSC,2,7,-4.07,0.9274491,2.6e-06,-,-,-,-,-
Crataegus monogyna,VSC,3,7,-4.07,0.9274491,2.6e-06,-,-,-,-,-
Crataegus monogyna,VSC,5,7,-4.07,0.9274491,2.6e-06,-,-,-,-,-
Crataegus monogyna,IAVC,2,21,-,-,9.85e-05,-2.0763e-07,-,-,-,-
Crataegus monogyna,IAVC,3,21,-,-,9.85e-05,-2.0763e-07,-,-,-,-
Crataegus monogyna,IAVC,5,21,-,-,9.85e-05,-2.0763e-07,-,-,-,-
Crataegus monogyna,VLE,2,12,-,-,-,0.0010626,1.85153,-,-,-
Crataegus monogyna,VLE,3,12,-,-,-,0.0010626,1.85153,-,-,-
Crataegus monogyna,VLE,5,12,-,-,-,0.0010626,1.85153,-,-,-
Pinus sylvestris,VCC,1,1,33.81,0.0003111,-,-,-,-,-,-
Pinus sylvestris,VCC,2,1,33.81,0.0003111,-,-,-,-,-,-
Pinus sylvestris,VCC,3,1,14.07,0.0002115,-,-,-,-,-,-
Pinus sylvestris,VCC,5,1,36.68,0.000206,-,-,-,-,-,-
Pinus sylvestris,VSC,1,7,-9.26,0.8314044,2.67e-05,-,-,-,-,-
Pinus sylvestris,VSC,2,7,-9.26,0.8314044,2.67e-05,-,-,-,-,-
Pinus sylvestris,VSC,3,7,0.63,0.7006666,0.0006363,-,-,-,-,-
Pinus sylvestris,VSC,5,7,-2.1,0.7876861,6.97e-05,-,-,-,-,-
Pinus sylvestris,IAVC,1,19,1.77277,-0.0286571,0.0002411,-1.0926e-07,-,-,-,-
Pinus sylvestris,IAVC,2,19,1.77277,-0.0286571,0.0002411,-1.0926e-07,-,-,-,-
Pinus sylvestris,IAVC,3,19,1.77277,-0.0286571,0.0002411,-1.0926e-07,-,-,-,-
Pinus sylvestris,IAVC,5,19,1.77277,-0.0286571,0.0002411,-1.0926e-07,-,-,-,-
Pinus sylvestris,VLE,1,12,-,-,-,0.0001194,2.14645,-,-,-
Pinus sylvestris,VLE,2,12,-,-,-,0.0001194,2.14645,-,-,-
Pinus sylvestris,VLE,3,12,-,-,-,0.0001194,2.14645,-,-,-
Pinus sylvestris,VLE,5,12,-,-,-,0.0001194,2.14645,-,-,-
Pinus uncinata,VCC,2,1,4.04,0.0003523,-,-,-,-,-,-
Pinus uncinata,VCC,3,1,5.14,0.0003073,-,-,-,-,-,-
Pinus uncinata,VCC,5,1,4.04,0.0003523,-,-,-,-,-,-
Pinus uncinata,VSC,2,7,-10.84,0.8716282,1.57e-05,-,-,-,-,-
Pinus uncinata,VSC,3,7,-1.5,0.8301012,-0.0012588,-,-,-,-,-
Pinus uncinata,VSC,5,7,-10.84,0.8716282,1.57e-05,-,-,-,-,-
Pinus uncinata,IAVC,2,14,-,-,-,-,0.0004105,1.5483,-,-
Pinus uncinata,IAVC,3,14,-,-,-,-,0.0004105,1.5483,-,-
Pinus uncinata,IAVC,5,14,-,-,-,-,0.0004105,1.5483,-,-
Pinus uncinata,VLE,2,12,-,-,-,0.0001534,2.09834,-,-,-
Pinus uncinata,VLE,3,12,-,-,-,0.0001534,2.09834,-,-,-
Pinus uncinata,VLE,5,12,-,-,-,0.0001534,2.09834,-,-,-
Pinus halepensis,VCC,2,1,8.49,0.0003296,-,-,-,-,-,-
Pinus halepensis,VCC,3,1,3.63,0.0003112,-,-,-,-,-,-
Pinus halepensis,VCC,5,1,40.84,0.000189,-,-,-,-,-,-
Pinus halepensis,VSC,2,7,-11.79,0.8250681,9.7e-06,-,-,-,-,-
Pinus halepensis,VSC,3,7,0.24,0.74743,-0.0012929,-,-,-,-,-
Pinus halepensis,VSC,5,7,-10.31,0.8497362,1.38e-05,-,-,-,-,-
Pinus halepensis,IAVC,2,19,-0.07196,-0.014267,0.0002356,-3.0446e-07,-,-,-,-
Pinus halepensis,IAVC,3,19,-0.07196,-0.014267,0.0002356,-3.0446e-07,-,-,-,-
Pinus halepensis,IAVC,5,19,-0.07196,-0.014267,0.0002356,-3.0446e-07,-,-,-,-
Pinus halepensis,VLE,2,12,-,-,-,4.53e-05,2.33124,-,-,-
Pinus halepensis,VLE,3,12,-,-,-,4.53e-05,2.33124,-,-,-
Pinus halepensis,VLE,5,12,-,-,-,4.53e-05,2.33124,-,-,-
Pinus nigra,VCC,1,1,8.28,0.0003491,-,-,-,-,-,-
Pinus nigra,VCC,2,1,8.28,0.0003491,-,-,-,-,-,-
Pinus nigra,VCC,3,1,3.4,0.0003181,-,-,-,-,-,-
Pinus nigra,VCC,5,1,51.08,0.0002,-,-,-,-,-,-
