ESPECIE,Parámetro,FORMA DE CUBICACIÓN,Model,A,B,C,D,P,Q,R,DNM
Acacia spp.,VCC,2,1,18.95,0.0002621,-,-,-,-,-,-
Acacia spp.,VCC,3,1,18.95,0.0002621,-,-,-,-,-,-
Acacia spp.,VSC,2,7,0.26,0.8236223,2.33e-05,-,-,-,-,-
Acacia spp.,VSC,3,7,0.26,0.8236223,2.33e-05,-,-,-,-,-
Acacia spp.,IAVC,2,14,-,-,-,-,2.74e-05,2.4209,-,-
Acacia spp.,IAVC,3,14,-,-,-,-,2.74e-05,2.4209,-,-
Acacia spp.,VLE,2,12,-,-,-,-,2.12e-05,2.52613,-,-
Acacia spp.,VLE,3,12,-,-,-,-,2.12e-05,2.52613,-,-
Acacia melanoxylon,VCC,2,1,18.95,0.0002621,-,-,-,-,-,-
Acacia melanoxylon,VSC,2,7,0.26,0.8236223,2.33e-05,-,-,-,-,-
Acacia melanoxylon,IAVC,2,14,-,-,-,-,2.74e-05,2.4209,-,-
Acacia melanoxylon,VLE,2,12,-,-,-,-,2.12e-05,2.52613,-,-
Acacia dealbata,VCC,2,1,18.95,0.0002621,-,-,-,-,-,-
Acacia dealbata,VCC,3,1,18.95,0.0002621,-,-,-,-,-,-
Acacia dealbata,VCC,5,1,18.95,0.0002621,-,-,-,-,-,-
Acacia dealbata,VSC,2,7,0.26,0.8236223,2.33e-05,-,-,-,-,-
Acacia dealbata,VSC,3,7,0.26,0.8236223,2.33e-05,-,-,-,-,-
Acacia dealbata,VSC,5,7,0.26,0.8236223,2.33e-05,-,-,-,-,-
Acacia dealbata,IAVC,2,14,-,-,-,-,2.74e-05,2.4209,-,-
Acacia dealbata,IAVC,3,14,-,-,-,-,2.74e-05,2.4209,-,-
Acacia dealbata,IAVC,5,14,-,-,-,-,2.74e-05,2.4209,-,-
Acacia dealbata,VLE,2,12,-,-,-,-,2.12e-05,2.52613,-,-
Acacia dealbata,VLE,3,12,-,-,-,-,2.12e-05,2.52613,-,-
Acacia dealbata,VLE,5,12,-,-,-,-,2.12e-05,2.52613,-,-
Pinus sylvestris,VCC,2,1,9.31,0.0003372,-,-,-,-,-,-
Pinus sylvestris,VCC,3,1,4.02,0.0003042,-,-,-,-,-,-
Pinus sylvestris,VCC,5,1,36.68,0.000206,-,-,-,-,-,-
Pinus sylvestris,VSC,2,7,-1,0.7384353,0.0002196,-,-,-,-,-
Pinus sylvestris,VSC,3,7,-0.24,0.6933396,0.0006739,-,-,-,-,-
Pinus sylvestris,VSC,5,7,-8.46,0.8792743,6.3e-06,-,-,-,-,-
Pinus sylvestris,IAVC,2,21,-,-,0.0003092,-1.2e-10,-,-,-,-
Pinus sylvestris,IAVC,3,21,-,-,0.0003092,-1.2e-10,-,-,-,-
Pinus sylvestris,IAVC,5,21,-,-,0.0003092,-1.2e-10,-,-,-,-
Pinus sylvestris,VLE,2,12,-,-,-,-,0.0001194,2.14645,-,-
Pinus sylvestris,VLE,3,12,-,-,-,-,0.0001194,2.14645,-,-
Pinus sylvestris,VLE,5,12,-,-,-,-,0.0001194,2.14645,-,-
Pinus uncinata,VCC,2,11,-,-,-,-,0.0009417,1.85561,0.94126,-
Pinus uncinata,VCC,3,11,-,-,-,-,0.0032009,1.81969,0.30465,-
Pinus uncinata,VSC,2,7,-12.35,0.8807787,1.34e-05,-,-,-,-,-
Pinus uncinata,VSC,3,7,-1.75,0.7953553,0.0002175,-,-,-,-,-
Pinus uncinata,IAVC,2,21,-,-,0.0003092,-1.2e-10,-,-,-,-
Pinus uncinata,IAVC,3,21,-,-,0.0003092,-1.2e-10,-,-,-,-
Pinus uncinata,VLE,2,12,-,-,-,-,0.0001534,2.09834,-,-
Pinus uncinata,VLE,3,12,-,-,-,-,0.0001534,2.09834,-,-
Pinus pinea,VCC,2,1,61.62,0.000292,-,-,-,-,-,-
Pinus pinea,VCC,4,1,64.19,0.000149,-,-,-,-,-,-
Pinus pinea,VSC,2,7,-15.69,0.7459322,1.67e-05,-,-,-,-,-
Pinus pinea,VSC,4,7,-15.69,0.7459322,1.67e-05,-,-,-,-,-
Pinus pinea,IAVC,2,21,-,-,0.0005691,-4.3175e-07,-,-,-,-
Pinus pinea,IAVC,4,21,-,-,0.0005691,-4.3175e-07,-,-,-,-
Pinus pinea,VLE,2,12,-,-,-,-,8e-07,3.04558,-,-
Pinus pinea,VLE,4,12,-,-,-,-,8e-07,3.04558,-,-
Pinus nigra,VCC,2,1,12.01,0.000363,-,-,-,-,-,-
Pinus nigra,VSC,2,7,-3.97,0.7627273,3.48e-05,-,-,-,-,-
Pinus nigra,IAVC,2,21,-,-,0.0005691,-4.3175e-07,-,-,-,-
Pinus nigra,VLE,2,12,-,-,-,-,2.5e-05,2.41169,-,-
Pinus pinaster,VCC,1,1,38.71,0.0002922,-,-,-,-,-,-
Pinus pinaster,VCC,2,1,38.71,0.0002922,-,-,-,-,-,-
Pinus pinaster,VCC,3,1,2.58,0.0002992,-,-,-,-,-,-
