PROVINCIA,CÓD ESPECIE,ESPECIE,PARÁMETRO,FORMA DE CUBICACIÓN,MODELO,A,B,C,D,P,Q,R
34,12,Malus sylvestris,VCC,5,11,0.0,0.0,0.0,0.0,0.0017568,1.68729,0.93055
34,12,Malus sylvestris,VSC,5,7,-4.44,0.8334608,8.16e-05,0.0,0.0,0.0,0.0
34,12,Malus sylvestris,IAVC,5,21,0.0,0.0,9.19576827981922e-06,8.85836485250586e-08,0.0,0.0,0.0
34,12,Malus sylvestris,VLE,5,12,0.0,0.0,0.0,0.0,2.71e-05,2.51797,0.0
34,16,Pyrus spp.,VCC,3,11,0.0,0.0,0.0,0.0,0.0017568,1.68729,0.93055
34,16,Pyrus spp.,VSC,3,7,-4.44,0.8334608,8.16e-05,0.0,0.0,0.0,0.0
34,16,Pyrus spp.,IAVC,3,21,0.0,0.0,9.19576827981922e-06,8.85836485250586e-08,0.0,0.0,0.0
34,16,Pyrus spp.,VLE,3,12,0.0,0.0,0.0,0.0,2.71e-05,2.51797,0.0
34,16,Pyrus spp.,VCC,5,11,0.0,0.0,0.0,0.0,0.0017568,1.68729,0.93055
34,16,Pyrus spp.,VSC,5,7,-4.44,0.8334608,8.16e-05,0.0,0.0,0.0,0.0
34,16,Pyrus spp.,IAVC,5,21,0.0,0.0,9.19576827981922e-06,8.85836485250586e-08,0.0,0.0,0.0
34,16,Pyrus spp.,VLE,5,12,0.0,0.0,0.0,0.0,2.71e-05,2.51797,0.0
34,21,Pinus sylvestris,VCC,2,11,0.0,0.0,0.0,0.0,0.0011068,1.84819,0.863
34,21,Pinus sylvestris,VSC,2,7,-6.0,0.8021893,4.6e-05,0.0,0.0,0.0,0.0
34,21,Pinus sylvestris,IAVC,2,19,-1.32049969378977,0.0279120038724801,0.000148443091755691,-1.28671466778858e-07,0.0,0.0,0.0
34,21,Pinus sylvestris,VLE,2,12,0.0,0.0,0.0,0.0,0.0001194,2.14645,0.0
34,21,Pinus sylvestris,VCC,3,11,0.0,0.0,0.0,0.0,0.0001272,2.47914,0.23832
34,21,Pinus sylvestris,VSC,3,7,1.19,0.6354612,0.0008834,0.0,0.0,0.0,0.0
34,21,Pinus sylvestris,IAVC,3,19,-1.32049969378977,0.0279120038724801,0.000148443091755691,-1.28671466778858e-07,0.0,0.0,0.0
34,21,Pinus sylvestris,VLE,3,12,0.0,0.0,0.0,0.0,0.0001194,2.14645,0.0
34,21,Pinus sylvestris,VCC,5,11,0.0,0.0,0.0,0.0,0.0011068,1.84819,0.863
34,21,Pinus sylvestris,VSC,5,7,-6.0,0.8021893,4.6e-05,0.0,0.0,0.0,0.0
34,21,Pinus sylvestris,IAVC,5,19,-1.32049969378977,0.0279120038724801,0.000148443091755691,-1.28671466778858e-07,0.0,0.0,0.0
34,21,Pinus sylvestris,VLE,5,12,0.0,0.0,0.0,0.0,0.0001194,2.14645,0.0
34,22,Pinus uncinata,VCC,2,11,0.0,0.0,0.0,0.0,0.0009417,1.85561,0.94126
34,22,Pinus uncinata,VSC,2,7,-12.35,0.8807787,1.34e-05,0.0,0.0,0.0,0.0
34,22,Pinus uncinata,IAVC,2,19,-1.32049969378977,0.0279120038724801,0.000148443091755691,-1.28671466778858e-07,0.0,0.0,0.0
34,22,Pinus uncinata,VLE,2,12,0.0,0.0,0.0,0.0,0.0001534,2.09834,0.0
34,22,Pinus uncinata,VCC,3,11,0.0,0.0,0.0,0.0,0.0032009,1.81969,0.30465
34,22,Pinus uncinata,VSC,3,7,-1.75,0.7953553,0.0002175,0.0,0.0,0.0,0.0
34,22,Pinus uncinata,IAVC,3,19,-1.32049969378977,0.0279120038724801,0.000148443091755691,-1.28671466778858e-07,0.0,0.0,0.0
34,22,Pinus uncinata,VLE,3,12,0.0,0.0,0.0,0.0,0.0001534,2.09834,0.0
34,22,Pinus uncinata,VCC,5,11,0.0,0.0,0.0,0.0,0.0009417,1.85561,0.94126
34,22,Pinus uncinata,VSC,5,7,-12.35,0.8807787,1.34e-05,0.0,0.0,0.0,0.0
34,22,Pinus uncinata,IAVC,5,19,-1.32049969378977,0.0279120038724801,0.000148443091755691,-1.28671466778858e-07,0.0,0.0,0.0
34,22,Pinus uncinata,VLE,5,12,0.0,0.0,0.0,0.0,0.0001534,2.09834,0.0
34,23,Pinus pinea,VCC,2,11,0.0,0.0,0.0,0.0,0.0014257,1.76673,0.98882
34,23,Pinus pinea,VSC,2,7,-16.05,0.7834317,2.05e-05,0.0,0.0,0.0,0.0
34,23,Pinus pinea,IAVC,2,21,0.0,0.0,0.00015163740492451,-3.44350871050636e-08,0.0,0.0,0.0
34,23,Pinus pinea,VLE,2,12,0.0,0.0,0.0,0.0,8e-07,3.04558,0.0
34,23,Pinus pinea,VCC,3,11,0.0,0.0,0.0,0.0,0.0019412,1.90296,0.31746
