COMUNIDAD AUTÓNOMA,CÓD ESPECIE,ESPECIE,PARÁMETRO,FORMA DE CUBICACIÓN,MODELO,A,B,C,D,P,Q,R,DNM
66,207,Acacia melanoxylon,VCC,2,11,0.0,0.0,0.0,0.0,0.0004732,1.98799,0.75629,0
66,207,Acacia melanoxylon,VSC,2,7,-4.94,0.8041761,1.86e-05,0.0,0.0,0.0,0.0,0
66,207,Acacia melanoxylon,IAVC,2,21,0.0,0.0,0.0004584,-4.3441e-07,0.0,0.0,0.0,0
66,207,Acacia melanoxylon,VLE,2,12,0.0,0.0,0.0,0.0,0.0016601,1.7736,0.0,0
66,207,Acacia melanoxylon,VCC,3,11,0.0,0.0,0.0,0.0,0.0004732,1.98799,0.75629,0
66,207,Acacia melanoxylon,VSC,3,7,-4.94,0.8041761,1.86e-05,0.0,0.0,0.0,0.0,0
66,207,Acacia melanoxylon,IAVC,3,21,0.0,0.0,0.0004584,-4.3441e-07,0.0,0.0,0.0,0
66,207,Acacia melanoxylon,VLE,3,12,0.0,0.0,0.0,0.0,0.0016601,1.7736,0.0,0
66,207,Acacia melanoxylon,VCC,5,11,0.0,0.0,0.0,0.0,0.0004732,1.98799,0.75629,0
66,207,Acacia melanoxylon,VSC,5,7,-4.94,0.8041761,1.86e-05,0.0,0.0,0.0,0.0,0
66,207,Acacia melanoxylon,IAVC,5,21,0.0,0.0,0.0004584,-4.3441e-07,0.0,0.0,0.0,0
66,207,Acacia melanoxylon,VLE,5,12,0.0,0.0,0.0,0.0,0.0016601,1.7736,0.0,0
66,307,Acacia dealbata,VCC,3,11,0.0,0.0,0.0,0.0,0.0004732,1.98799,0.75629,0
66,307,Acacia dealbata,VSC,3,7,-4.94,0.8041761,1.86e-05,0.0,0.0,0.0,0.0,0
66,307,Acacia dealbata,IAVC,3,21,0.0,0.0,0.0004584,-4.3441e-07,0.0,0.0,0.0,0
66,307,Acacia dealbata,VLE,3,12,0.0,0.0,0.0,0.0,0.0016601,1.7736,0.0,0
66,307,Acacia dealbata,VCC,5,11,0.0,0.0,0.0,0.0,0.0004732,1.98799,0.75629,0
66,307,Acacia dealbata,VSC,5,7,-4.94,0.8041761,1.86e-05,0.0,0.0,0.0,0.0,0
