ESPECIE,PARÁMETRO,FORMA DE CUBICACIÓN,Modelo,A,B,C,D,P,Q,R,DNM
Pinus pinaster,VCC,1,1,41.1,0.0002834,-,-,-,-,-,
Pinus pinaster,VCC,2,1,41.1,0.0002834,-,-,-,-,-,
Pinus pinaster,VCC,3,1,4.77,0.0002403,-,-,-,-,-,
Pinus pinaster,VCC,4,1,4.77,0.0002403,-,-,-,-,-,
Pinus pinaster,VCC,5,1,38.41293,0.000208,-,-,-,-,-,
Pinus pinaster,VSC,1,7,-15.57,0.7433089,1.62e-05,-,-,-,-,
Pinus pinaster,VSC,2,7,-15.57,0.7433089,1.62e-05,-,-,-,-,
Pinus pinaster,VSC,3,7,0.78,0.6361544,0.0003141,-,-,-,-,
Pinus pinaster,VSC,4,7,0.78,0.6361544,0.0003141,-,-,-,-,
Pinus pinaster,VSC,5,7,-8.49,0.7276162,3.43e-05,-,-,-,-,
Pinus pinaster,IAVC,1,21,-,-,0.0005215,-4.7655e-07,-,-,-,-
Pinus pinaster,IAVC,2,21,-,-,0.0005215,-4.7655e-07,-,-,-,-
Pinus pinaster,IAVC,3,21,-,-,0.0005215,-4.7655e-07,-,-,-,-
Pinus pinaster,IAVC,4,21,-,-,0.0005215,-4.7655e-07,-,-,-,-
Pinus pinaster,IAVC,5,21,-,-,0.0005215,-4.7655e-07,-,-,-,-
Pinus pinaster,VLE,1,12,-,-,-,,5.64e-05,2.24028,-,-
Pinus pinaster,VLE,2,12,-,-,-,,5.64e-05,2.24028,-,-
Pinus pinaster,VLE,3,12,-,-,-,,5.64e-05,2.24028,-,-
Pinus pinaster,VLE,4,12,-,-,-,,5.64e-05,2.24028,-,-
Pinus pinaster,VLE,5,12,-,-,-,,5.64e-05,2.24028,-,-
Pinus radiata,VCC,2,1,17.64,0.0003019,-,-,-,-,-,
Pinus radiata,VCC,3,1,5.04,0.0002358,-,-,-,-,-,
Pinus radiata,VCC,5,1,143.13965,0.000149,-,-,-,-,-,
Pinus radiata,VSC,2,7,0.24,0.7971497,5.3e-06,-,-,-,-,
Pinus radiata,VSC,3,7,0.37,0.7494878,0.0001775,-,-,-,-,
Pinus radiata,VSC,5,7,-17.54,0.8526272,-5.75e-05,-,-,-,-,
Pinus radiata,IAVC,2,21,-,-,0.0002873,2.7974e-07,-,-,-,-
Pinus radiata,IAVC,3,21,-,-,0.0002873,2.7974e-07,-,-,-,-
Pinus radiata,IAVC,5,21,-,-,0.0002873,2.7974e-07,-,-,-,-
Pinus radiata,VLE,2,12,-,-,-,,0.0014136,1.73113,-,-
Pinus radiata,VLE,3,12,-,-,-,,0.0014136,1.73113,-,-
Pinus radiata,VLE,5,12,-,-,-,,0.0014136,1.73113,-,-
