PROVINCIA,CÓD ESPECIE,ESPECIE,PARÁMETRO,FORMA DE CUBICACIÓN,MODELO,A,B,C,D,P,Q,R
37,13,Celtis australis,VCC,2,11,0.0,0.0,0.0,0.0,0.0002254,2.06989,0.94894
37,13,Celtis australis,VSC,2,7,-0.79,0.8039236,2.27e-05,0.0,0.0,0.0,0.0
37,13,Celtis australis,IAVC,2,16,4.72338244702312,0.00019558847177577,0.0,0.0,0.0,0.0,0.0
37,13,Celtis australis,VLE,2,12,0.0,0.0,0.0,0.0,0.0010626,1.85153,0.0
37,13,Celtis australis,VCC,3,11,0.0,0.0,0.0,0.0,0.0002254,2.06989,0.94894
37,13,Celtis australis,VSC,3,7,-0.79,0.8039236,2.27e-05,0.0,0.0,0.0,0.0
37,13,Celtis australis,IAVC,3,16,4.72338244702312,0.00019558847177577,0.0,0.0,0.0,0.0,0.0
37,13,Celtis australis,VLE,3,12,0.0,0.0,0.0,0.0,0.0010626,1.85153,0.0
37,13,Celtis australis,VCC,5,11,0.0,0.0,0.0,0.0,0.0002254,2.06989,0.94894
37,13,Celtis australis,VSC,5,7,-0.79,0.8039236,2.27e-05,0.0,0.0,0.0,0.0
37,13,Celtis australis,IAVC,5,16,4.72338244702312,0.00019558847177577,0.0,0.0,0.0,0.0,0.0
37,13,Celtis australis,VLE,5,12,0.0,0.0,0.0,0.0,0.0010626,1.85153,0.0
37,14,Taxus baccata,VCC,2,11,0.0,0.0,0.0,0.0,0.0005432,2.01237,0.79826
37,14,Taxus baccata,VSC,2,7,-5.8,0.6300307,7.79e-05,0.0,0.0,0.0,0.0
37,14,Taxus baccata,IAVC,2,21,0.0,0.0,0.000213605984156657,-4.25753067952094e-07,0.0,0.0,0.0
37,14,Taxus baccata,VLE,2,12,0.0,0.0,0.0,0.0,5.64e-05,2.24028,0.0
37,14,Taxus baccata,VCC,5,11,0.0,0.0,0.0,0.0,0.0005432,2.01237,0.79826
37,14,Taxus baccata,VSC,5,7,-5.8,0.6300307,7.79e-05,0.0,0.0,0.0,0.0
37,14,Taxus baccata,IAVC,5,21,0.0,0.0,0.000213605984156657,-4.25753067952094e-07,0.0,0.0,0.0
37,14,Taxus baccata,VLE,5,12,0.0,0.0,0.0,0.0,5.64e-05,2.24028,0.0
37,215,Crataegus monogyna,VCC,3,11,0.0,0.0,0.0,0.0,0.0004732,1.98799,0.75629
37,215,Crataegus monogyna,VSC,3,7,-4.94,0.8041761,1.86e-05,0.0,0.0,0.0,0.0
37,215,Crataegus monogyna,IAVC,3,21,0.0,0.0,0.0002124051074786,-4.44156033197022e-07,0.0,0.0,0.0
37,215,Crataegus monogyna,VLE,3,12,0.0,0.0,0.0,0.0,0.0016601,1.7736,0.0
37,215,Crataegus monogyna,VCC,5,11,0.0,0.0,0.0,0.0,0.0004732,1.98799,0.75629
37,215,Crataegus monogyna,VSC,5,7,-4.94,0.8041761,1.86e-05,0.0,0.0,0.0,0.0
37,215,Crataegus monogyna,IAVC,5,21,0.0,0.0,0.0002124051074786,-4.44156033197022e-07,0.0,0.0,0.0
37,215,Crataegus monogyna,VLE,5,12,0.0,0.0,0.0,0.0,0.0016601,1.7736,0.0
37,21,Pinus sylvestris,VCC,1,11,0.0,0.0,0.0,0.0,0.0004569,1.98545,0.92955
37,21,Pinus sylvestris,VSC,1,7,-9.18,0.8419375,4.1e-06,0.0,0.0,0.0,0.0
37,21,Pinus sylvestris,IAVC,1,21,0.0,0.0,0.000486029557003888,-5.73753017813359e-07,0.0,0.0,0.0
37,21,Pinus sylvestris,VLE,1,12,0.0,0.0,0.0,0.0,0.0001194,2.14645,0.0
37,21,Pinus sylvestris,VCC,2,11,0.0,0.0,0.0,0.0,0.0004569,1.98545,0.92955
37,21,Pinus sylvestris,VSC,2,7,-9.18,0.8419375,4.1e-06,0.0,0.0,0.0,0.0
37,21,Pinus sylvestris,IAVC,2,21,0.0,0.0,0.000486029557003888,-5.73753017813359e-07,0.0,0.0,0.0
37,21,Pinus sylvestris,VLE,2,12,0.0,0.0,0.0,0.0,0.0001194,2.14645,0.0
37,21,Pinus sylvestris,VCC,3,11,0.0,0.0,0.0,0.0,0.0004569,1.98545,0.92955
37,21,Pinus sylvestris,VSC,3,7,-9.18,0.8419375,4.1e-06,0.0,0.0,0.0,0.0
37,21,Pinus sylvestris,IAVC,3,21,0.0,0.0,0.000486029557003888,-5.73753017813359e-07,0.0,0.0,0.0
37,21,Pinus sylvestris,VLE,3,12,0.0,0.0,0.0,0.0,0.0001194,2.14645,0.0
37,21,Pinus sylvestris,VCC,5,11,0.0,0.0,0.0,0.0,0.0004569,1.98545,0.92955
37,21,Pinus sylvestris,VSC,5,7,-9.18,0.8419375,4.1e-06,0.0,0.0,0.0,0.0
37,21,Pinus sylvestris,IAVC,5,21,0.0,0.0,0.000486029557003888,-5.73753017813359e-07,0.0,0.0,0.0
37,21,Pinus sylvestris,VLE,5,12,0.0,0.0,0.0,0.0,0.0001194,2.14645,0.0
37,23,Pinus pinea,VCC,2,1,31.22,0.0002903,0.0,0.0,0.0,0.0,0.0
37,23,Pinus pinea,VSC,2,7,-12.54,0.8225261,6.8e-06,0.0,0.0,0.0,0.0
37,23,Pinus pinea,IAVC,2,20,-6.29118661403371,0.106384092745414,0.0,6.55264669139121e-08,0.0,0.0,0.0
37,23,Pinus pinea,VLE,2,12,0.0,0.0,0.0,0.0,8e-07,3.04558,0.0
37,23,Pinus pinea,VCC,3,1,31.22,0.0002903,0.0,0.0,0.0,0.0,0.0
37,23,Pinus pinea,VSC,3,7,-12.54,0.8225261,6.8e-06,0.0,0.0,0.0,0.0
37,23,Pinus pinea,IAVC,3,20,-6.29118661403371,0.106384092745414,0.0,6.55264669139121e-08,0.0,0.0,0.0
37,23,Pinus pinea,VLE,3,12,0.0,0.0,0.0,0.0,8e-07,3.04558,0.0
37,23,Pinus pinea,VCC,4,1,31.22,0.0002903,0.0,0.0,0.0,0.0,0.0
37,23,Pinus pinea,VSC,4,7,-12.54,0.8225261,6.8e-06,0.0,0.0,0.0,0.0
37,23,Pinus pinea,IAVC,4,20,-6.29118661403371,0.106384092745414,0.0,6.55264669139121e-08,0.0,0.0,0.0
37,23,Pinus pinea,VLE,4,12,0.0,0.0,0.0,0.0,8e-07,3.04558,0.0
37,23,Pinus pinea,VCC,5,1,31.22,0.0002903,0.0,0.0,0.0,0.0,0.0
37,23,Pinus pinea,VSC,5,7,-12.54,0.8225261,6.8e-06,0.0,0.0,0.0,0.0
37,23,Pinus pinea,IAVC,5,20,-6.29118661403371,0.106384092745414,0.0,6.55264669139121e-08,0.0,0.0,0.0
37,23,Pinus pinea,VLE,5,12,0.0,0.0,0.0,0.0,8e-07,3.04558,0.0
37,25,Pinus nigra,VCC,1,11,0.0,0.0,0.0,0.0,0.0003897,2.0039,0.94953
37,25,Pinus nigra,VSC,1,7,-1.18,0.6499954,7.79e-05,0.0,0.0,0.0,0.0
37,25,Pinus nigra,IAVC,1,21,0.0,0.0,0.000359227640601081,-1.92047073580448e-07,0.0,0.0,0.0
37,25,Pinus nigra,VLE,1,12,0.0,0.0,0.0,0.0,2.5e-05,2.41169,0.0
37,25,Pinus nigra,VCC,2,11,0.0,0.0,0.0,0.0,0.0003897,2.0039,0.94953
37,25,Pinus nigra,VSC,2,7,-1.18,0.6499954,7.79e-05,0.0,0.0,0.0,0.0
