PROVINCIA,CÓD ESPECIE,ESPECIE,PARÁMETRO,FORMA DE CUBICACIÓN,MODELO,A,B,C,D,P,Q,R
40,12,Malus sylvestris,VCC,3,11,0.0,0.0,0.0,0.0,0.0017568,1.68729,0.93055
40,12,Malus sylvestris,VSC,3,7,-4.44,0.8334608,8.16e-05,0.0,0.0,0.0,0.0
40,12,Malus sylvestris,IAVC,3,21,0.0,0.0,5.26233887856135e-05,9.764e-08,0.0,0.0,0.0
40,12,Malus sylvestris,VLE,3,12,0.0,0.0,0.0,0.0,0.0010626,1.85153,0.0
40,12,Malus sylvestris,VCC,5,11,0.0,0.0,0.0,0.0,0.0017568,1.68729,0.93055
40,12,Malus sylvestris,VSC,5,7,-4.44,0.8334608,8.16e-05,0.0,0.0,0.0,0.0
40,12,Malus sylvestris,IAVC,5,21,0.0,0.0,5.26233887856135e-05,9.764e-08,0.0,0.0,0.0
40,12,Malus sylvestris,VLE,5,12,0.0,0.0,0.0,0.0,0.0010626,1.85153,0.0
40,14,Taxus baccata,VCC,5,11,0.0,0.0,0.0,0.0,0.0001315,2.36474,0.58255
40,14,Taxus baccata,VSC,5,7,0.0,0.6957183,2.53e-05,0.0,0.0,0.0,0.0
40,14,Taxus baccata,IAVC,5,21,0.0,0.0,4.73941100854779e-05,-3.155e-08,0.0,0.0,0.0
40,14,Taxus baccata,VLE,5,12,0.0,0.0,0.0,0.0,2.5e-05,2.41169,0.0
40,215,Crataegus monogyna,VCC,2,11,0.0,0.0,0.0,0.0,0.0017568,1.68729,0.93055
40,215,Crataegus monogyna,VSC,2,7,-4.44,0.8334608,8.16e-05,0.0,0.0,0.0,0.0
40,215,Crataegus monogyna,IAVC,2,21,0.0,0.0,5.26233887856135e-05,9.764e-08,0.0,0.0,0.0
40,215,Crataegus monogyna,VLE,2,12,0.0,0.0,0.0,0.0,0.0010626,1.85153,0.0
40,215,Crataegus monogyna,VCC,3,11,0.0,0.0,0.0,0.0,0.0017568,1.68729,0.93055
40,215,Crataegus monogyna,VSC,3,7,-4.44,0.8334608,8.16e-05,0.0,0.0,0.0,0.0
40,215,Crataegus monogyna,IAVC,3,21,0.0,0.0,5.26233887856135e-05,9.764e-08,0.0,0.0,0.0
40,215,Crataegus monogyna,VLE,3,12,0.0,0.0,0.0,0.0,0.0010626,1.85153,0.0
40,215,Crataegus monogyna,VCC,5,11,0.0,0.0,0.0,0.0,0.0017568,1.68729,0.93055
40,215,Crataegus monogyna,VSC,5,7,-4.44,0.8334608,8.16e-05,0.0,0.0,0.0,0.0
40,215,Crataegus monogyna,IAVC,5,21,0.0,0.0,5.26233887856135e-05,9.764e-08,0.0,0.0,0.0
40,215,Crataegus monogyna,VLE,5,12,0.0,0.0,0.0,0.0,0.0010626,1.85153,0.0
40,21,Pinus sylvestris,VCC,1,11,0.0,0.0,0.0,0.0,0.0005131,1.98463,0.88673
40,21,Pinus sylvestris,VSC,1,7,-10.59,0.864339,5.8e-06,0.0,0.0,0.0,0.0
40,21,Pinus sylvestris,IAVC,1,20,-1.95815364827684,0.0672302921412466,0.0,-5.733e-08,0.0,0.0,0.0
40,21,Pinus sylvestris,VLE,1,12,0.0,0.0,0.0,0.0,0.0001194,2.14645,0.0
40,21,Pinus sylvestris,VCC,2,11,0.0,0.0,0.0,0.0,0.0005131,1.98463,0.88673
40,21,Pinus sylvestris,VSC,2,7,-10.59,0.864339,5.8e-06,0.0,0.0,0.0,0.0
40,21,Pinus sylvestris,IAVC,2,20,-1.95815364827684,0.0672302921412466,0.0,-5.733e-08,0.0,0.0,0.0
40,21,Pinus sylvestris,VLE,2,12,0.0,0.0,0.0,0.0,0.0001194,2.14645,0.0
40,21,Pinus sylvestris,VCC,3,11,0.0,0.0,0.0,0.0,0.000213,2.32313,0.35789
40,21,Pinus sylvestris,VSC,3,7,0.02,0.7001951,0.00128,0.0,0.0,0.0,0.0
40,21,Pinus sylvestris,IAVC,3,20,-1.95815364827684,0.0672302921412466,0.0,-5.733e-08,0.0,0.0,0.0
40,21,Pinus sylvestris,VLE,3,12,0.0,0.0,0.0,0.0,0.0001194,2.14645,0.0
40,21,Pinus sylvestris,VCC,5,11,0.0,0.0,0.0,0.0,0.0201472,1.37213,0.67136
40,21,Pinus sylvestris,VSC,5,7,-0.49,0.8158293,8.82e-05,0.0,0.0,0.0,0.0
40,21,Pinus sylvestris,IAVC,5,20,-1.95815364827684,0.0672302921412466,0.0,-5.733e-08,0.0,0.0,0.0
40,21,Pinus sylvestris,VLE,5,12,0.0,0.0,0.0,0.0,0.0001194,2.14645,0.0
40,23,Pinus pinea,VCC,2,11,0.0,0.0,0.0,0.0,0.0015278,1.75126,0.99228
40,23,Pinus pinea,VSC,2,7,-9.69,0.7317979,4.8e-05,0.0,0.0,0.0,0.0
40,23,Pinus pinea,IAVC,2,21,0.0,0.0,0.000198996156791889,-1.3337e-07,0.0,0.0,0.0
40,23,Pinus pinea,VLE,2,12,0.0,0.0,0.0,0.0,8e-07,3.04558,0.0
40,23,Pinus pinea,VCC,3,11,0.0,0.0,0.0,0.0,0.0015278,1.75126,0.99228
40,23,Pinus pinea,VSC,3,7,-9.69,0.7317979,4.8e-05,0.0,0.0,0.0,0.0
40,23,Pinus pinea,IAVC,3,21,0.0,0.0,0.000198996156791889,-1.3337e-07,0.0,0.0,0.0
40,23,Pinus pinea,VLE,3,12,0.0,0.0,0.0,0.0,8e-07,3.04558,0.0
40,23,Pinus pinea,VCC,4,11,0.0,0.0,0.0,0.0,0.0015278,1.75126,0.99228
40,23,Pinus pinea,VSC,4,7,-9.69,0.7317979,4.8e-05,0.0,0.0,0.0,0.0
40,23,Pinus pinea,IAVC,4,21,0.0,0.0,0.000198996156791889,-1.3337e-07,0.0,0.0,0.0
40,23,Pinus pinea,VLE,4,12,0.0,0.0,0.0,0.0,8e-07,3.04558,0.0
40,23,Pinus pinea,VCC,5,11,0.0,0.0,0.0,0.0,0.0015278,1.75126,0.99228
40,23,Pinus pinea,VSC,5,7,-9.69,0.7317979,4.8e-05,0.0,0.0,0.0,0.0
40,23,Pinus pinea,IAVC,5,21,0.0,0.0,0.000198996156791889,-1.3337e-07,0.0,0.0,0.0
40,23,Pinus pinea,VLE,5,12,0.0,0.0,0.0,0.0,8e-07,3.04558,0.0
40,25,Pinus nigra,VCC,2,11,0.0,0.0,0.0,0.0,0.0001315,2.36474,0.58255
40,25,Pinus nigra,VSC,2,7,0.0,0.6957183,2.53e-05,0.0,0.0,0.0,0.0
40,25,Pinus nigra,IAVC,2,21,0.0,0.0,0.000333435098124263,-5.2112e-07,0.0,0.0,0.0
40,25,Pinus nigra,VLE,2,12,0.0,0.0,0.0,0.0,2.5e-05,2.41169,0.0
40,25,Pinus nigra,VCC,3,11,0.0,0.0,0.0,0.0,0.0001315,2.36474,0.58255
40,25,Pinus nigra,VSC,3,7,0.0,0.6957183,2.53e-05,0.0,0.0,0.0,0.0
40,25,Pinus nigra,IAVC,3,21,0.0,0.0,0.000333435098124263,-5.2112e-07,0.0,0.0,0.0
40,25,Pinus nigra,VLE,3,12,0.0,0.0,0.0,0.0,2.5e-05,2.41169,0.0
