PROVINCIA,CÓD ESPECIE,ESPECIE,PARÁMETRO,FORMA DE CUBICACIÓN,MODELO,A,B,C,D,P,Q,R
42,215,Crataegus monogyna,VCC,2,11,0.0,0.0,0.0,0.0,0.0002254,2.06989,0.94894
42,215,Crataegus monogyna,VSC,2,7,-0.79,0.8039236,2.27e-05,0.0,0.0,0.0,0.0
42,215,Crataegus monogyna,IAVC,2,20,1.53754893041623,-0.0146279202998335,0.0,4.89218424916828e-07,0.0,0.0,0.0
42,215,Crataegus monogyna,VLE,2,12,0.0,0.0,0.0,0.0,1.27e-05,2.57913,0.0
42,215,Crataegus monogyna,VCC,3,11,0.0,0.0,0.0,0.0,0.0002254,2.06989,0.94894
42,215,Crataegus monogyna,VSC,3,7,-0.79,0.8039236,2.27e-05,0.0,0.0,0.0,0.0
42,215,Crataegus monogyna,IAVC,3,20,1.53754893041623,-0.0146279202998335,0.0,4.89218424916828e-07,0.0,0.0,0.0
42,215,Crataegus monogyna,VLE,3,12,0.0,0.0,0.0,0.0,1.27e-05,2.57913,0.0
42,215,Crataegus monogyna,VCC,5,11,0.0,0.0,0.0,0.0,0.0002254,2.06989,0.94894
42,215,Crataegus monogyna,VSC,5,7,-0.79,0.8039236,2.27e-05,0.0,0.0,0.0,0.0
42,215,Crataegus monogyna,IAVC,5,20,1.53754893041623,-0.0146279202998335,0.0,4.89218424916828e-07,0.0,0.0,0.0
42,215,Crataegus monogyna,VLE,5,12,0.0,0.0,0.0,0.0,1.27e-05,2.57913,0.0
42,16,Pyrus spp.,VCC,5,11,0.0,0.0,0.0,0.0,0.0007316,1.86222,0.94326
42,16,Pyrus spp.,VSC,5,7,-7.8,0.8086976,1.7e-06,0.0,0.0,0.0,0.0
42,16,Pyrus spp.,IAVC,5,20,1.53754893041623,-0.0146279202998335,0.0,4.89218424916828e-07,0.0,0.0,0.0
42,16,Pyrus spp.,VLE,5,12,0.0,0.0,0.0,0.0,1.27e-05,2.57913,0.0
42,21,Pinus sylvestris,VCC,1,11,0.0,0.0,0.0,0.0,0.0005005,1.99435,0.87394
42,21,Pinus sylvestris,VSC,1,7,-8.41,0.8155972,2.65e-05,0.0,0.0,0.0,0.0
