PROVINCIA,CÓD ESPECIE,ESPECIE,PARÁMETRO,FORMA DE CUBICACIÓN,MODELO,A,B,C,D,P,Q,R
44,8,Phillyrea latifolia,VCC,3,11,0.0,0.0,0.0,0.0,0.0013079,1.89867,0.41737
44,8,Phillyrea latifolia,VSC,3,7,-3.0,0.8497195,0.000114,0.0,0.0,0.0,0.0
44,8,Phillyrea latifolia,IAVC,3,14,0.0,0.0,0.0,0.0,3.19634859790142e-05,2.03011896786586,0.0
44,8,Phillyrea latifolia,VLE,3,12,0.0,0.0,0.0,0.0,0.0090069,1.42613,0.0
44,8,Phillyrea latifolia,VCC,5,11,0.0,0.0,0.0,0.0,0.0013079,1.89867,0.41737
44,8,Phillyrea latifolia,VSC,5,7,-3.0,0.8497195,0.000114,0.0,0.0,0.0,0.0
44,8,Phillyrea latifolia,IAVC,5,14,0.0,0.0,0.0,0.0,3.19634859790142e-05,2.03011896786586,0.0
44,8,Phillyrea latifolia,VLE,5,12,0.0,0.0,0.0,0.0,0.0090069,1.42613,0.0
44,12,Malus sylvestris,VCC,5,11,0.0,0.0,0.0,0.0,0.0013079,1.89867,0.41737
44,12,Malus sylvestris,VSC,5,7,-3.0,0.8497195,0.000114,0.0,0.0,0.0,0.0
44,12,Malus sylvestris,IAVC,5,14,0.0,0.0,0.0,0.0,3.19634859790142e-05,2.03011896786586,0.0
44,12,Malus sylvestris,VLE,5,12,0.0,0.0,0.0,0.0,0.0090069,1.42613,0.0
44,13,Celtis australis,VCC,2,11,0.0,0.0,0.0,0.0,0.0017568,1.68729,0.93055
44,13,Celtis australis,VSC,2,7,-4.44,0.8334608,8.16e-05,0.0,0.0,0.0,0.0
44,13,Celtis australis,IAVC,2,21,0.0,0.0,0.000232806297053846,-2.16602978209723e-07,0.0,0.0,0.0
44,13,Celtis australis,VLE,2,12,0.0,0.0,0.0,0.0,0.0010626,1.85153,0.0
44,13,Celtis australis,VCC,3,11,0.0,0.0,0.0,0.0,0.0017568,1.68729,0.93055
44,13,Celtis australis,VSC,3,7,-4.44,0.8334608,8.16e-05,0.0,0.0,0.0,0.0
44,13,Celtis australis,IAVC,3,21,0.0,0.0,0.000232806297053846,-2.16602978209723e-07,0.0,0.0,0.0
44,13,Celtis australis,VLE,3,12,0.0,0.0,0.0,0.0,0.0010626,1.85153,0.0
44,13,Celtis australis,VCC,5,11,0.0,0.0,0.0,0.0,0.0017568,1.68729,0.93055
44,13,Celtis australis,VSC,5,7,-4.44,0.8334608,8.16e-05,0.0,0.0,0.0,0.0
44,13,Celtis australis,IAVC,5,21,0.0,0.0,0.000232806297053846,-2.16602978209723e-07,0.0,0.0,0.0
44,13,Celtis australis,VLE,5,12,0.0,0.0,0.0,0.0,0.0010626,1.85153,0.0
44,14,Taxus baccata,VCC,2,11,0.0,0.0,0.0,0.0,0.0028903,1.71624,0.70819
44,14,Taxus baccata,VSC,2,7,-7.28,0.8910046,1.53e-05,0.0,0.0,0.0,0.0
44,14,Taxus baccata,IAVC,2,17,-0.0612627418208053,0.00761383186395044,1.04024257506485e-06,0.0,0.0,0.0,0.0
44,14,Taxus baccata,VLE,2,12,0.0,0.0,0.0,0.0,2.49e-05,2.44751,0.0
44,14,Taxus baccata,VCC,3,11,0.0,0.0,0.0,0.0,0.0028903,1.71624,0.70819
44,14,Taxus baccata,VSC,3,7,-7.28,0.8910046,1.53e-05,0.0,0.0,0.0,0.0
44,14,Taxus baccata,IAVC,3,17,-0.0612627418208053,0.00761383186395044,1.04024257506485e-06,0.0,0.0,0.0,0.0
44,14,Taxus baccata,VLE,3,12,0.0,0.0,0.0,0.0,2.49e-05,2.44751,0.0
44,14,Taxus baccata,VCC,5,11,0.0,0.0,0.0,0.0,0.0028903,1.71624,0.70819
44,14,Taxus baccata,VSC,5,7,-7.28,0.8910046,1.53e-05,0.0,0.0,0.0,0.0
44,14,Taxus baccata,IAVC,5,17,-0.0612627418208053,0.00761383186395044,1.04024257506485e-06,0.0,0.0,0.0,0.0
44,14,Taxus baccata,VLE,5,12,0.0,0.0,0.0,0.0,2.49e-05,2.44751,0.0
44,21,Pinus sylvestris,VCC,1,11,0.0,0.0,0.0,0.0,0.0005197,1.94303,0.98798
