PROVINCIA,CÓD ESPECIE,ESPECIE,PARÁMETRO,FORMA DE CUBICACIÓN,MODELO,A,B,C,D,P,Q,R
45,12,Malus sylvestris,VCC,5,11,0.0,0.0,0.0,0.0,0.0013079,1.89867,0.41737
45,12,Malus sylvestris,VSC,5,7,-3.0,0.8497195,0.000114,0.0,0.0,0.0,0.0
45,12,Malus sylvestris,IAVC,5,21,0.0,0.0,6.96914257787218e-05,-1.24375493400296e-07,0.0,0.0,0.0
45,12,Malus sylvestris,VLE,5,12,0.0,0.0,0.0,0.0,0.0090069,1.42613,0.0
45,16,Pyrus spp.,VCC,3,11,0.0,0.0,0.0,0.0,0.0001182,2.47464,0.27139
45,16,Pyrus spp.,VSC,3,7,0.41,0.6335196,0.0011997,0.0,0.0,0.0,0.0
45,16,Pyrus spp.,IAVC,3,21,0.0,0.0,6.96914257787218e-05,-1.24375493400296e-07,0.0,0.0,0.0
45,16,Pyrus spp.,VLE,3,12,0.0,0.0,0.0,0.0,3.63e-05,2.46992,0.0
45,16,Pyrus spp.,VCC,5,11,0.0,0.0,0.0,0.0,0.0006715,1.94593,0.70858
45,16,Pyrus spp.,VSC,5,7,-0.85,0.7103779,0.0001622,0.0,0.0,0.0,0.0
45,16,Pyrus spp.,IAVC,5,21,0.0,0.0,6.96914257787218e-05,-1.24375493400296e-07,0.0,0.0,0.0
45,16,Pyrus spp.,VLE,5,12,0.0,0.0,0.0,0.0,3.63e-05,2.46992,0.0
45,21,Pinus sylvestris,VCC,2,11,0.0,0.0,0.0,0.0,0.0005061,1.96386,0.94176
45,21,Pinus sylvestris,VSC,2,7,-12.03,0.8402603,1.34e-05,0.0,0.0,0.0,0.0
45,21,Pinus sylvestris,IAVC,2,16,-0.981515012959954,0.000210115413520641,0.0,0.0,0.0,0.0,0.0
45,21,Pinus sylvestris,VLE,2,12,0.0,0.0,0.0,0.0,0.0001194,2.14645,0.0
45,21,Pinus sylvestris,VCC,3,11,0.0,0.0,0.0,0.0,0.0004544,2.18056,0.32603
45,21,Pinus sylvestris,VSC,3,7,0.72,0.684556,0.000675,0.0,0.0,0.0,0.0
45,21,Pinus sylvestris,IAVC,3,16,-0.981515012959954,0.000210115413520641,0.0,0.0,0.0,0.0,0.0
45,21,Pinus sylvestris,VLE,3,12,0.0,0.0,0.0,0.0,0.0001194,2.14645,0.0
45,23,Pinus pinea,VCC,2,11,0.0,0.0,0.0,0.0,0.001618,1.7209,1.02968
45,23,Pinus pinea,VSC,2,7,-27.45,0.7839235,1.61e-05,0.0,0.0,0.0,0.0
45,23,Pinus pinea,IAVC,2,21,0.0,0.0,0.000131746453131668,-1.3720842044899e-07,0.0,0.0,0.0
45,23,Pinus pinea,VLE,2,12,0.0,0.0,0.0,0.0,8e-07,3.04558,0.0
45,23,Pinus pinea,VCC,3,11,0.0,0.0,0.0,0.0,0.0006501,2.08745,0.40231
45,23,Pinus pinea,VSC,3,7,0.54,0.6208698,0.0005999,0.0,0.0,0.0,0.0
45,23,Pinus pinea,IAVC,3,21,0.0,0.0,0.000131746453131668,-1.3720842044899e-07,0.0,0.0,0.0
45,23,Pinus pinea,VLE,3,12,0.0,0.0,0.0,0.0,8e-07,3.04558,0.0
45,23,Pinus pinea,VCC,4,11,0.0,0.0,0.0,0.0,0.0023526,1.69596,0.74706
45,23,Pinus pinea,VSC,4,7,-2.47,0.697939,0.0001326,0.0,0.0,0.0,0.0
45,23,Pinus pinea,IAVC,4,21,0.0,0.0,0.000131746453131668,-1.3720842044899e-07,0.0,0.0,0.0
45,23,Pinus pinea,VLE,4,12,0.0,0.0,0.0,0.0,8e-07,3.04558,0.0
45,23,Pinus pinea,VCC,5,11,0.0,0.0,0.0,0.0,0.0005672,1.92039,0.8827
45,23,Pinus pinea,VSC,5,7,-5.03,0.7674858,6.11e-05,0.0,0.0,0.0,0.0
45,23,Pinus pinea,IAVC,5,21,0.0,0.0,0.000131746453131668,-1.3720842044899e-07,0.0,0.0,0.0
