PROVINCIA,CÓD ESPECIE,ESPECIE,PARÁMETRO,FORMA DE CUBICACIÓN,MODELO,A,B,C,D,P,Q,R
46,11,Ailanthus altissima,VCC,2,11,0.0,0.0,0.0,0.0,0.0017568,1.68729,0.93055
46,11,Ailanthus altissima,VSC,2,7,-4.44,0.8334608,8.16e-05,0.0,0.0,0.0,0.0
46,11,Ailanthus altissima,IAVC,2,21,0.0,0.0,0.000448740294232124,-3.37982354813194e-07,0.0,0.0,0.0
46,11,Ailanthus altissima,VLE,2,12,0.0,0.0,0.0,0.0,0.0010626,1.85153,0.0
46,11,Ailanthus altissima,VCC,5,11,0.0,0.0,0.0,0.0,0.0017568,1.68729,0.93055
46,11,Ailanthus altissima,VSC,5,7,-4.44,0.8334608,8.16e-05,0.0,0.0,0.0,0.0
46,11,Ailanthus altissima,IAVC,5,21,0.0,0.0,0.000448740294232124,-3.37982354813194e-07,0.0,0.0,0.0
46,11,Ailanthus altissima,VLE,5,12,0.0,0.0,0.0,0.0,0.0010626,1.85153,0.0
46,13,Celtis australis,VCC,5,11,0.0,0.0,0.0,0.0,0.0017568,1.68729,0.93055
46,13,Celtis australis,VSC,5,7,-4.44,0.8334608,8.16e-05,0.0,0.0,0.0,0.0
46,13,Celtis australis,IAVC,5,21,0.0,0.0,0.000448740294232124,-3.37982354813194e-07,0.0,0.0,0.0
46,13,Celtis australis,VLE,5,12,0.0,0.0,0.0,0.0,0.0010626,1.85153,0.0
46,21,Pinus sylvestris,VCC,2,11,0.0,0.0,0.0,0.0,0.0005061,1.96386,0.94176
46,21,Pinus sylvestris,VSC,2,7,-12.03,0.8402603,1.34e-05,0.0,0.0,0.0,0.0
46,21,Pinus sylvestris,IAVC,2,21,0.0,0.0,0.000187368910650844,-2.65635587396395e-07,0.0,0.0,0.0
46,21,Pinus sylvestris,VLE,2,12,0.0,0.0,0.0,0.0,0.0001194,2.14645,0.0
46,21,Pinus sylvestris,VCC,3,11,0.0,0.0,0.0,0.0,0.0004544,2.18056,0.32603
46,21,Pinus sylvestris,VSC,3,7,0.72,0.684556,0.000675,0.0,0.0,0.0,0.0
46,21,Pinus sylvestris,IAVC,3,21,0.0,0.0,0.000187368910650844,-2.65635587396395e-07,0.0,0.0,0.0
46,21,Pinus sylvestris,VLE,3,12,0.0,0.0,0.0,0.0,0.0001194,2.14645,0.0
46,21,Pinus sylvestris,VCC,5,11,0.0,0.0,0.0,0.0,0.000692,2.09689,0.30199
46,21,Pinus sylvestris,VSC,5,7,-5.87,0.8328878,2.83e-05,0.0,0.0,0.0,0.0
46,21,Pinus sylvestris,IAVC,5,21,0.0,0.0,0.000187368910650844,-2.65635587396395e-07,0.0,0.0,0.0
46,21,Pinus sylvestris,VLE,5,12,0.0,0.0,0.0,0.0,0.0001194,2.14645,0.0
46,23,Pinus pinea,VCC,2,11,0.0,0.0,0.0,0.0,0.0014257,1.76673,0.98882
46,23,Pinus pinea,VSC,2,7,-16.05,0.7834317,2.05e-05,0.0,0.0,0.0,0.0
46,23,Pinus pinea,IAVC,2,21,0.0,0.0,0.000145339105710912,-1.34349288828489e-07,0.0,0.0,0.0
46,23,Pinus pinea,VLE,2,12,0.0,0.0,0.0,0.0,8e-07,3.04558,0.0
46,23,Pinus pinea,VCC,3,11,0.0,0.0,0.0,0.0,0.0019412,1.90296,0.31746
46,23,Pinus pinea,VSC,3,7,2.49,0.5722811,0.0009123,0.0,0.0,0.0,0.0
