PROVINCIA,CÓD ESPECIE,ESPECIE,PARÁMETRO,FORMA DE CUBICACIÓN,MODELO,A,B,C,D,P,Q,R
47,23,Pinus pinea,VCC,2,11,-,-,-,-,0.0007609,1.9203,0.87737
47,23,Pinus pinea,VSC,2,7,-10.92,0.735626,3.84e-05,-,0.0,0.0,0.0
47,23,Pinus pinea,IAVC,2,20,-2.35083028367835,0.0408503222980744,0,5.62961385264639e-08,0.0,0.0,0.0
47,23,Pinus pinea,VLE,2,12,0,0,0,-,8e-07,3.04558,0.0
47,23,Pinus pinea,VCC,3,11,-,-,-,-,0.0007558,2.06373,0.38078
47,23,Pinus pinea,VSC,3,7,0.54,0.6448817,0.0001957,-,0.0,0.0,0.0
47,23,Pinus pinea,IAVC,3,20,-2.35083028367835,0.0408503222980744,0,5.62961385264639e-08,0.0,0.0,0.0
47,23,Pinus pinea,VLE,3,12,0,0,0,-,8e-07,3.04558,0.0
47,23,Pinus pinea,VCC,4,11,-,-,-,-,0.0015522,1.87059,0.49633
47,23,Pinus pinea,VSC,4,7,-1.75,0.6878672,0.0001178,-,0.0,0.0,0.0
47,23,Pinus pinea,IAVC,4,20,-2.35083028367835,0.0408503222980744,0,5.62961385264639e-08,0.0,0.0,0.0
47,23,Pinus pinea,VLE,4,12,0,0,0,-,8e-07,3.04558,0.0
47,23,Pinus pinea,VCC,5,11,-,-,-,-,0.0005672,1.92039,0.8827
47,23,Pinus pinea,VSC,5,7,-3.35,0.7234945,3.55e-05,-,0.0,0.0,0.0
47,23,Pinus pinea,IAVC,5,20,-2.35083028367835,0.0408503222980744,0,5.62961385264639e-08,0.0,0.0,0.0
47,23,Pinus pinea,VLE,5,12,0,0,0,-,8e-07,3.04558,0.0
47,24,Pinus halepensis,VCC,2,11,0,0,0,-,0.0026289,1.71191,0.74024
47,24,Pinus halepensis,VSC,2,7,0.86,0.7014749,0.0003032,-,0.0,0.0,0.0
47,24,Pinus halepensis,IAVC,2,21,0,0,0.000216357432815023,-1.87091452000668e-07,0.0,0.0,0.0
47,24,Pinus halepensis,VLE,2,12,0,0,0,-,4.53e-05,2.33124,0.0
47,24,Pinus halepensis,VCC,3,11,0,0,0,-,0.0006783,2.10144,0.32568
47,24,Pinus halepensis,VSC,3,7,1,0.6340533,0.0017436,-,0.0,0.0,0.0
47,24,Pinus halepensis,IAVC,3,21,0,0,0.000216357432815023,-1.87091452000668e-07,0.0,0.0,0.0
47,24,Pinus halepensis,VLE,3,12,0,0,0,-,4.53e-05,2.33124,0.0
47,24,Pinus halepensis,VCC,5,11,0,0,0,-,0.0006783,2.10144,0.32568
47,24,Pinus halepensis,VSC,5,7,1,0.6340533,0.0017436,-,0.0,0.0,0.0
47,24,Pinus halepensis,IAVC,5,21,0,0,0.000216357432815023,-1.87091452000668e-07,0.0,0.0,0.0
47,24,Pinus halepensis,VLE,5,12,0,0,0,-,4.53e-05,2.33124,0.0
47,25,Pinus nigra,VCC,2,11,0,0,0,-,0.0004554,1.99576,0.92676
47,25,Pinus nigra,VSC,2,7,-15.18,0.7593746,9e-06,-,0.0,0.0,0.0
47,25,Pinus nigra,IAVC,2,21,0,0,0.000216357432815023,-1.87091452000668e-07,0.0,0.0,0.0
47,25,Pinus nigra,VLE,2,12,0,0,0,-,2.5e-05,2.41169,0.0
47,25,Pinus nigra,VCC,3,11,0,0,0,-,0.0006238,2.1297,0.28354
47,25,Pinus nigra,VSC,3,7,0.74,0.6205656,0.0004244,-,0.0,0.0,0.0
47,25,Pinus nigra,IAVC,3,21,0,0,0.000216357432815023,-1.87091452000668e-07,0.0,0.0,0.0
47,25,Pinus nigra,VLE,3,12,0,0,0,-,2.5e-05,2.41169,0.0
47,36,Cupressus sempervirens,VCC,2,11,0,0,0,-,0.0026289,1.71191,0.74024
47,36,Cupressus sempervirens,VSC,2,7,0.86,0.7014749,0.0003032,-,0.0,0.0,0.0
47,36,Cupressus sempervirens,IAVC,2,21,0,0,0.000216357432815023,-1.87091452000668e-07,0.0,0.0,0.0
47,36,Cupressus sempervirens,VLE,2,12,0,0,0,-,4.53e-05,2.33124,0.0
47,36,Cupressus sempervirens,VCC,3,11,0,0,0,-,0.0006783,2.10144,0.32568
47,36,Cupressus sempervirens,VSC,3,7,1,0.6340533,0.0017436,-,0.0,0.0,0.0
47,36,Cupressus sempervirens,IAVC,3,21,0,0,0.000216357432815023,-1.87091452000668e-07,0.0,0.0,0.0
47,36,Cupressus sempervirens,VLE,3,12,0,0,0,-,4.53e-05,2.33124,0.0
47,36,Cupressus sempervirens,VCC,5,11,0,0,0,-,0.0006783,2.10144,0.32568
47,36,Cupressus sempervirens,VSC,5,7,1,0.6340533,0.0017436,-,0.0,0.0,0.0
47,36,Cupressus sempervirens,IAVC,5,21,0,0,0.000216357432815023,-1.87091452000668e-07,0.0,0.0,0.0
47,36,Cupressus sempervirens,VLE,5,12,0,0,0,-,4.53e-05,2.33124,0.0
47,38,Juniperus thurifera,VCC,2,11,0,0,0,-,0.0028903,1.71624,0.70819
47,38,Juniperus thurifera,VSC,2,7,-7.28,0.8910046,1.53e-05,-,0.0,0.0,0.0
47,38,Juniperus thurifera,IAVC,2,21,0,0,0.000216357432815023,-1.87091452000668e-07,0.0,0.0,0.0
47,38,Juniperus thurifera,VLE,2,12,0,0,0,-,2.49e-05,2.44751,0.0
47,38,Juniperus thurifera,VCC,3,11,0,0,0,-,0.0028903,1.71624,0.70819
47,38,Juniperus thurifera,VSC,3,7,-7.28,0.8910046,1.53e-05,-,0.0,0.0,0.0
47,38,Juniperus thurifera,IAVC,3,21,0,0,0.000216357432815023,-1.87091452000668e-07,0.0,0.0,0.0
47,38,Juniperus thurifera,VLE,3,12,0,0,0,-,2.49e-05,2.44751,0.0
47,38,Juniperus thurifera,VCC,5,11,0,0,0,-,0.0028903,1.71624,0.70819
47,38,Juniperus thurifera,VSC,5,7,-7.28,0.8910046,1.53e-05,-,0.0,0.0,0.0
47,38,Juniperus thurifera,IAVC,5,21,0,0,0.000216357432815023,-1.87091452000668e-07,0.0,0.0,0.0
47,38,Juniperus thurifera,VLE,5,12,0,0,0,-,2.49e-05,2.44751,0.0
47,41,Quercus robur,VCC,4,11,0,0,0,-,0.001635,1.96208,0.15454
47,41,Quercus robur,VSC,4,7,-5.71,0.8194328,5.3e-05,-,0.0,0.0,0.0
47,41,Quercus robur,IAVC,4,21,0,0,7.69247549069189e-05,-6.35346063633702e-08,0.0,0.0,0.0
47,41,Quercus robur,VLE,4,12,0,0,0,-,4.83e-05,2.35962,0.0
47,44,Quercus faginea,VCC,2,11,0,0,0,-,0.0005858,2.01154,0.6062
47,44,Quercus faginea,VSC,2,7,-1.52,0.796283,5.16e-05,-,0.0,0.0,0.0
47,44,Quercus faginea,IAVC,2,21,0,0,7.69247549069189e-05,-6.35346063633702e-08,0.0,0.0,0.0
47,44,Quercus faginea,VLE,2,12,0,0,0,-,3.63e-05,2.46992,0.0
47,44,Quercus faginea,VCC,3,11,0,0,0,-,0.0005858,2.01154,0.6062
47,44,Quercus faginea,VSC,3,7,-1.52,0.796283,5.16e-05,-,0.0,0.0,0.0
47,44,Quercus faginea,IAVC,3,21,0,0,7.69247549069189e-05,-6.35346063633702e-08,0.0,0.0,0.0
47,44,Quercus faginea,VLE,3,12,0,0,0,-,3.63e-05,2.46992,0.0
47,44,Quercus faginea,VCC,4,11,0,0,0,-,0.0005858,2.01154,0.6062
47,44,Quercus faginea,VSC,4,7,-1.52,0.796283,5.16e-05,-,0.0,0.0,0.0
47,44,Quercus faginea,IAVC,4,21,0,0,7.69247549069189e-05,-6.35346063633702e-08,0.0,0.0,0.0
47,44,Quercus faginea,VLE,4,12,0,0,0,-,3.63e-05,2.46992,0.0
47,44,Quercus faginea,VCC,5,11,0,0,0,-,0.0005858,2.01154,0.6062
47,44,Quercus faginea,VSC,5,7,-1.52,0.796283,5.16e-05,-,0.0,0.0,0.0
47,44,Quercus faginea,IAVC,5,21,0,0,7.69247549069189e-05,-6.35346063633702e-08,0.0,0.0,0.0
47,44,Quercus faginea,VLE,5,12,0,0,0,-,3.63e-05,2.46992,0.0
47,45,Quercus ilex,VCC,2,11,0,0,0,-,0.0007229,1.96206,0.64037
