PROVINCIA,CÓD ESPECIE,ESPECIE,PARÁMETRO,FORMA DE CUBICACIÓN,MODELO,A,B,C,D,P,Q,R
49,16,Pyrus spp.,VCC,2,11,0.0,0.0,0.0,-,0.0017568,1.68729,0.93055
49,16,Pyrus spp.,VSC,2,7,-4.44,0.8334608,8.16e-05,-,0.0,0.0,0.0
49,16,Pyrus spp.,IAVC,2,21,0.0,0.0,0.000109824454150292,-1.03971327186004e-07,0.0,0.0,0.0
49,16,Pyrus spp.,VLE,2,12,0.0,0.0,0.0,-,0.0010626,1.85153,0.0
49,16,Pyrus spp.,VCC,3,11,0.0,0.0,0.0,-,0.0017568,1.68729,0.93055
49,16,Pyrus spp.,VSC,3,7,-4.44,0.8334608,8.16e-05,-,0.0,0.0,0.0
49,16,Pyrus spp.,IAVC,3,21,0.0,0.0,0.000109824454150292,-1.03971327186004e-07,0.0,0.0,0.0
49,16,Pyrus spp.,VLE,3,12,0.0,0.0,0.0,-,0.0010626,1.85153,0.0
49,16,Pyrus spp.,VCC,4,11,0.0,0.0,0.0,-,0.0017568,1.68729,0.93055
49,16,Pyrus spp.,VSC,4,7,-4.44,0.8334608,8.16e-05,-,0.0,0.0,0.0
49,16,Pyrus spp.,IAVC,4,21,0.0,0.0,0.000109824454150292,-1.03971327186004e-07,0.0,0.0,0.0
49,16,Pyrus spp.,VLE,4,12,0.0,0.0,0.0,-,0.0010626,1.85153,0.0
49,16,Pyrus spp.,VCC,5,11,0.0,0.0,0.0,-,0.0017568,1.68729,0.93055
49,16,Pyrus spp.,VSC,5,7,-4.44,0.8334608,8.16e-05,-,0.0,0.0,0.0
49,16,Pyrus spp.,IAVC,5,21,0.0,0.0,0.000109824454150292,-1.03971327186004e-07,0.0,0.0,0.0
49,16,Pyrus spp.,VLE,5,12,0.0,0.0,0.0,-,0.0010626,1.85153,0.0
49,21,Pinus sylvestris,VCC,1,11,0.0,0.0,0.0,-,0.0006827,1.89953,0.95856
49,21,Pinus sylvestris,VSC,1,7,-1.68,0.7886473,6.01e-05,-,0.0,0.0,0.0
49,21,Pinus sylvestris,IAVC,1,20,-3.98068653850989,0.0604605571239589,0.0,3.50900614105272e-07,0.0,0.0,0.0
49,21,Pinus sylvestris,VLE,1,12,0.0,0.0,0.0,-,0.0001194,2.14645,0.0
49,21,Pinus sylvestris,VCC,2,11,0.0,0.0,0.0,-,0.0006827,1.89953,0.95856
49,21,Pinus sylvestris,VSC,2,7,-1.68,0.7886473,6.01e-05,-,0.0,0.0,0.0
49,21,Pinus sylvestris,IAVC,2,20,-3.98068653850989,0.0604605571239589,0.0,3.50900614105272e-07,0.0,0.0,0.0
49,21,Pinus sylvestris,VLE,2,12,0.0,0.0,0.0,-,0.0001194,2.14645,0.0
49,21,Pinus sylvestris,VCC,3,11,0.0,0.0,0.0,-,0.0001478,2.39422,0.36773
49,21,Pinus sylvestris,VSC,3,7,0.41,0.6995504,0.0011008,-,0.0,0.0,0.0
49,21,Pinus sylvestris,IAVC,3,20,-3.98068653850989,0.0604605571239589,0.0,3.50900614105272e-07,0.0,0.0,0.0
49,21,Pinus sylvestris,VLE,3,12,0.0,0.0,0.0,-,0.0001194,2.14645,0.0
49,21,Pinus sylvestris,VCC,5,11,0.0,0.0,0.0,-,0.0006827,1.89953,0.95856
49,21,Pinus sylvestris,VSC,5,7,-1.68,0.7886473,6.01e-05,-,0.0,0.0,0.0
49,21,Pinus sylvestris,IAVC,5,20,-3.98068653850989,0.0604605571239589,0.0,3.50900614105272e-07,0.0,0.0,0.0
49,21,Pinus sylvestris,VLE,5,12,0.0,0.0,0.0,-,0.0001194,2.14645,0.0
49,22,Pinus uncinata,VCC,1,11,0.0,0.0,0.0,-,0.0009417,1.85561,0.94126
49,22,Pinus uncinata,VSC,1,7,-12.35,0.8807787,1.34e-05,-,0.0,0.0,0.0
49,22,Pinus uncinata,IAVC,1,20,-3.98068653850989,0.0604605571239589,0.0,3.50900614105272e-07,0.0,0.0,0.0
49,22,Pinus uncinata,VLE,1,12,0.0,0.0,0.0,-,0.0001534,2.09834,0.0
49,22,Pinus uncinata,VCC,2,11,0.0,0.0,0.0,-,0.0009417,1.85561,0.94126
49,22,Pinus uncinata,VSC,2,7,-12.35,0.8807787,1.34e-05,-,0.0,0.0,0.0
49,22,Pinus uncinata,IAVC,2,20,-3.98068653850989,0.0604605571239589,0.0,3.50900614105272e-07,0.0,0.0,0.0
49,22,Pinus uncinata,VLE,2,12,0.0,0.0,0.0,-,0.0001534,2.09834,0.0
49,22,Pinus uncinata,VCC,3,11,0.0,0.0,0.0,-,0.0032009,1.81969,0.30465
49,22,Pinus uncinata,VSC,3,7,-1.75,0.7953553,0.0002175,-,0.0,0.0,0.0
49,22,Pinus uncinata,IAVC,3,20,-3.98068653850989,0.0604605571239589,0.0,3.50900614105272e-07,0.0,0.0,0.0
49,22,Pinus uncinata,VLE,3,12,0.0,0.0,0.0,-,0.0001534,2.09834,0.0
49,22,Pinus uncinata,VCC,5,11,0.0,0.0,0.0,-,0.0009417,1.85561,0.94126
49,22,Pinus uncinata,VSC,5,7,-12.35,0.8807787,1.34e-05,-,0.0,0.0,0.0
