PROVINCIA,CÓD ESPECIE,ESPECIE,PARÁMETRO,FORMA DE CUBICACIÓN,MODELO,A,B,C,D,P,Q,R
50,7,Acacia spp.,VCC,5,11,0.0,0.0,0.0,0.0,0.0017568,1.68729,0.93055
50,7,Acacia spp.,VSC,5,7,-4.44,0.8334608,8.16e-05,0.0,0.0,0.0,0.0
50,7,Acacia spp.,IAVC,5,17,-3.4502448964588,0.0467832466570379,-4.33898989269e-05,0.0,0.0,0.0,0.0
50,7,Acacia spp.,VLE,5,12,0.0,0.0,0.0,0.0,0.0010626,1.85153,0.0
50,8,Phillyrea latifolia,VCC,3,11,0.0,0.0,0.0,0.0,0.0013079,1.89867,0.41737
50,8,Phillyrea latifolia,VSC,3,7,-3.0,0.8497195,0.000114,0.0,0.0,0.0,0.0
50,8,Phillyrea latifolia,IAVC,3,17,-3.4502448964588,0.0467832466570379,-4.33898989269e-05,0.0,0.0,0.0,0.0
50,8,Phillyrea latifolia,VLE,3,12,0.0,0.0,0.0,0.0,0.0090069,1.42613,0.0
50,8,Phillyrea latifolia,VCC,5,11,0.0,0.0,0.0,0.0,0.0013079,1.89867,0.41737
50,8,Phillyrea latifolia,VSC,5,7,-3.0,0.8497195,0.000114,0.0,0.0,0.0,0.0
50,8,Phillyrea latifolia,IAVC,5,17,-3.4502448964588,0.0467832466570379,-4.33898989269e-05,0.0,0.0,0.0,0.0
50,8,Phillyrea latifolia,VLE,5,12,0.0,0.0,0.0,0.0,0.0090069,1.42613,0.0
50,12,Malus sylvestris,VCC,5,1,62.78,0.0001897,0.0,0.0,0.0,0.0,0.0
50,12,Malus sylvestris,VSC,5,7,-14.85,0.8582139,3.9e-06,0.0,0.0,0.0,0.0
50,12,Malus sylvestris,IAVC,5,17,-3.4502448964588,0.0467832466570379,-4.33898989269e-05,0.0,0.0,0.0,0.0
50,12,Malus sylvestris,VLE,5,12,0.0,0.0,0.0,0.0,0.0010626,1.85153,0.0
50,13,Celtis australis,VCC,2,11,0.0,0.0,0.0,0.0,0.0017568,1.68729,0.93055
50,13,Celtis australis,VSC,2,7,-4.44,0.8334608,8.16e-05,0.0,0.0,0.0,0.0
50,13,Celtis australis,IAVC,2,21,0.0,0.0,0.000301903497320072,-7.1737281997e-07,0.0,0.0,0.0
50,13,Celtis australis,VLE,2,12,0.0,0.0,0.0,0.0,0.0010626,1.85153,0.0
50,13,Celtis australis,VCC,3,11,0.0,0.0,0.0,0.0,0.0017568,1.68729,0.93055
50,13,Celtis australis,VSC,3,7,-4.44,0.8334608,8.16e-05,0.0,0.0,0.0,0.0
50,13,Celtis australis,IAVC,3,21,0.0,0.0,0.000301903497320072,-7.1737281997e-07,0.0,0.0,0.0
50,13,Celtis australis,VLE,3,12,0.0,0.0,0.0,0.0,0.0010626,1.85153,0.0
50,215,Crataegus monogyna,VCC,3,11,0.0,0.0,0.0,0.0,0.0017568,1.68729,0.93055
50,215,Crataegus monogyna,VSC,3,7,-4.44,0.8334608,8.16e-05,0.0,0.0,0.0,0.0
50,215,Crataegus monogyna,IAVC,3,17,-3.4502448964588,0.0467832466570379,-4.33898989269e-05,0.0,0.0,0.0,0.0
50,215,Crataegus monogyna,VLE,3,12,0.0,0.0,0.0,0.0,0.0010626,1.85153,0.0
50,215,Crataegus monogyna,VCC,5,11,0.0,0.0,0.0,0.0,0.0017568,1.68729,0.93055
50,215,Crataegus monogyna,VSC,5,7,-4.44,0.8334608,8.16e-05,0.0,0.0,0.0,0.0
50,215,Crataegus monogyna,IAVC,5,17,-3.4502448964588,0.0467832466570379,-4.33898989269e-05,0.0,0.0,0.0,0.0
50,215,Crataegus monogyna,VLE,5,12,0.0,0.0,0.0,0.0,0.0010626,1.85153,0.0
50,21,Pinus sylvestris,VCC,2,11,0.0,0.0,0.0,0.0,0.0005564,1.94465,0.94368
50,21,Pinus sylvestris,VSC,2,7,-5.54,0.8346282,3.78e-05,0.0,0.0,0.0,0.0
50,21,Pinus sylvestris,IAVC,2,17,0.105810072082181,0.0205504718571207,4.97504059699259e-05,0.0,0.0,0.0,0.0
50,21,Pinus sylvestris,VLE,2,12,0.0,0.0,0.0,0.0,0.0001194,2.14645,0.0
50,21,Pinus sylvestris,VCC,3,11,0.0,0.0,0.0,0.0,0.0006035,2.06601,0.49686
50,21,Pinus sylvestris,VSC,3,7,0.89,0.7060353,0.0007882,0.0,0.0,0.0,0.0
50,21,Pinus sylvestris,IAVC,3,17,0.105810072082181,0.0205504718571207,4.97504059699259e-05,0.0,0.0,0.0,0.0
50,21,Pinus sylvestris,VLE,3,12,0.0,0.0,0.0,0.0,0.0001194,2.14645,0.0
50,21,Pinus sylvestris,VCC,5,11,0.0,0.0,0.0,0.0,0.0005564,1.94465,0.94368
50,21,Pinus sylvestris,VSC,5,7,-5.54,0.8346282,3.78e-05,0.0,0.0,0.0,0.0
50,21,Pinus sylvestris,IAVC,5,17,0.105810072082181,0.0205504718571207,4.97504059699259e-05,0.0,0.0,0.0,0.0
50,21,Pinus sylvestris,VLE,5,12,0.0,0.0,0.0,0.0,0.0001194,2.14645,0.0
50,22,Pinus uncinata,VCC,2,11,0.0,0.0,0.0,0.0,0.0009921,1.86503,0.89622
50,22,Pinus uncinata,VSC,2,7,-14.06,0.8923074,6.4e-06,0.0,0.0,0.0,0.0
50,22,Pinus uncinata,IAVC,2,17,-2.26538600951298,0.0408615813633,-3.54332296765852e-05,0.0,0.0,0.0,0.0
50,22,Pinus uncinata,VLE,2,12,0.0,0.0,0.0,0.0,0.0001534,2.09834,0.0
